cycle,Population_size,Deleterious_muts,Beneficial_muts,Mean_fitness,Intrinsic_fitness
1,1000,0,0,1.0,1.0
101,708,1356,2,0.588523,0.416674
201,720,1404,2,0.565804,0.407379
301,686,1397,2,0.570629,0.391451
401,692,1454,1,0.553355,0.382922
501,693,1468,3,0.543915,0.376933
601,694,1463,2,0.553938,0.384433
701,642,1462,2,0.521942,0.335087
801,661,1498,6,0.548287,0.362418
901,664,1425,5,0.585654,0.388874
1001,659,1472,6,0.565554,0.3727
1101,659,1434,6,0.54838,0.361382
1201,656,1484,5,0.558884,0.366628
1301,653,1463,6,0.546913,0.357134
1401,656,1420,6,0.533765,0.35015
1501,668,1420,9,0.592501,0.395791
1601,689,1471,7,0.585136,0.403159
1701,665,1493,4,0.543565,0.361471
1801,666,1501,4,0.538501,0.358642
1901,672,1523,7,0.584653,0.392887
2001,645,1490,7,0.540495,0.348619
2101,669,1473,8,0.565029,0.378004
2201,670,1616,6,0.529688,0.354891
2301,646,1454,4,0.552265,0.356763
2401,657,1398,5,0.563193,0.370018
2501,679,1480,2,0.549104,0.372842
2601,681,1414,4,0.554149,0.377375
2701,649,1409,2,0.562419,0.36501
2801,680,1501,3,0.547583,0.372357
2901,642,1490,2,0.562232,0.360953
3001,643,1491,4,0.548059,0.352402
3101,659,1485,2,0.558187,0.367845
3201,691,1550,4,0.550191,0.380182
3301,682,1554,3,0.549715,0.374906
3401,632,1497,3,0.575631,0.363799
3501,672,1506,1,0.554867,0.372871
3601,663,1491,1,0.529741,0.351219
3701,696,1470,4,0.57123,0.397576
3801,669,1476,4,0.537891,0.359849
3901,649,1483,4,0.55202,0.358261
4001,655,1443,5,0.564271,0.369597
4101,662,1485,3,0.578358,0.382873
4201,656,1493,3,0.562779,0.369183
4301,629,1431,6,0.556431,0.349995
4401,688,1511,5,0.536794,0.369314
4501,678,1450,5,0.564108,0.382465
4601,634,1434,5,0.536688,0.34026
4701,617,1432,6,0.592767,0.365737
4801,658,1509,5,0.54974,0.361729
4901,611,1397,4,0.589721,0.360319
5001,684,1457,5,0.556904,0.380922
5101,669,1496,7,0.538409,0.360196
