cycle,Population_size,Deleterious_muts,Beneficial_muts,Mean_fitness,Intrinsic_fitness
1,1000,0,0,1.0,1.0
101,846,4059,2,0.494823,0.41862
201,788,4293,5,0.515739,0.406402
301,773,4374,3,0.503985,0.38958
401,807,4543,4,0.514671,0.415339
501,802,4685,5,0.493718,0.395962
601,743,4570,7,0.513987,0.381892
701,737,4737,6,0.471964,0.347838
801,784,4831,8,0.479403,0.375852
901,739,4847,6,0.527035,0.389479
1001,732,4628,6,0.505879,0.370303
1101,740,4743,4,0.50242,0.37179
1201,748,4902,4,0.508474,0.380339
1301,758,4935,8,0.490202,0.371573
1401,751,4945,5,0.497802,0.373849
1501,713,4898,6,0.522559,0.372584
1601,760,5044,7,0.505547,0.384216
1701,676,4895,4,0.515995,0.348812
1801,724,4954,6,0.507403,0.36736
1901,732,4984,5,0.51752,0.378825
2001,765,5047,11,0.509597,0.389842
2101,732,4959,5,0.52039,0.380925
2201,737,5072,11,0.496799,0.366141
2301,767,5141,9,0.495935,0.380382
2401,706,5083,11,0.492024,0.347369
2501,733,5046,5,0.508198,0.372509
2601,696,5080,9,0.502516,0.349751
2701,728,5032,10,0.512015,0.372747
2801,701,5043,10,0.533139,0.373731
2901,698,4978,9,0.545749,0.380933
3001,708,4993,10,0.499125,0.353381
3101,698,5026,7,0.52484,0.366339
3201,687,5011,10,0.518088,0.355927
3301,738,5067,10,0.524395,0.387003
3401,726,5152,10,0.496072,0.360148
3501,713,5001,9,0.502836,0.358522
3601,683,5164,10,0.461675,0.315324
3701,716,5243,9,0.471373,0.337503
3801,710,5238,7,0.509121,0.361476
3901,679,5214,7,0.491661,0.333838
4001,682,5181,10,0.49304,0.336253
4101,660,5071,11,0.478929,0.316093
4201,692,5161,12,0.511748,0.35413
4301,678,5084,7,0.503932,0.341666
4401,718,5144,11,0.505772,0.363144
4501,656,5044,11,0.510642,0.334981
4601,684,5161,9,0.513868,0.351486
4701,685,4955,15,0.514419,0.352377
4801,657,5018,8,0.525622,0.345334
4901,705,5256,7,0.532668,0.375531
5001,703,5100,5,0.509476,0.358162
5101,656,5097,10,0.512692,0.336326
5201,685,5018,11,0.496322,0.339981
5301,713,5161,5,0.497318,0.354588
5401,664,5105,7,0.503384,0.334247
5501,646,5064,7,0.492667,0.318263
5601,679,5054,8,0.501171,0.340295
5701,637,5132,12,0.530942,0.33821
5801,673,5141,8,0.515035,0.346618
5901,649,4908,11,0.507207,0.329177
6001,646,5146,9,0.48263,0.311779
6101,636,5057,7,0.491436,0.312553
6201,648,5090,9,0.49179,0.31868
6301,658,5071,8,0.492285,0.323924
6401,667,5054,8,0.51012,0.34025
6501,661,5132,6,0.506636,0.334887
6601,694,5139,11,0.510551,0.354322
6701,643,5040,8,0.486573,0.312866
6801,675,5207,7,0.50682,0.342103
6901,691,5128,11,0.514982,0.355852
7001,681,5064,6,0.511448,0.348296
7101,668,5140,8,0.521659,0.348468
7201,680,5061,8,0.501865,0.341268
7301,641,5171,9,0.496311,0.318135
7401,672,5329,10,0.486907,0.327202
7501,707,5174,11,0.525133,0.371269
7601,648,5239,7,0.52003,0.336979
7701,651,5168,8,0.49995,0.325468
7801,670,5225,6,0.493692,0.330774
7901,650,5196,10,0.502766,0.326798
8001,659,5189,8,0.529281,0.348796
8101,611,5050,7,0.489395,0.29902
8201,639,5144,11,0.509292,0.325438
8301,652,5154,13,0.548297,0.35749
8401,655,5225,11,0.503959,0.330093
8501,650,5150,9,0.49323,0.3206
8601,617,5161,7,0.508074,0.313482
8701,620,4912,10,0.499758,0.30985
8801,635,5071,10,0.503302,0.319597
8901,626,5125,12,0.478079,0.299277
9001,623,5122,9,0.512477,0.319273
9101,619,5082,11,0.506839,0.313733
9201,640,5114,7,0.527906,0.33786
