cycle,Population_size,Deleterious_muts,Beneficial_muts,Mean_fitness,Intrinsic_fitness
1,1000,0,0,1.0,1.0
101,975,4940,0,0.485666,0.473525
201,926,5534,0,0.509366,0.471672
301,919,5864,0,0.50962,0.468341
401,880,5970,0,0.519323,0.457004
501,847,6132,0,0.496851,0.420833
601,844,6358,0,0.507463,0.428299
701,825,6263,0,0.505129,0.416732
801,873,6382,0,0.507997,0.443481
901,832,6374,0,0.515064,0.428533
1001,799,6374,0,0.503704,0.40246
1101,815,6421,0,0.504909,0.411501
1201,748,6232,0,0.507287,0.379451
1301,793,6330,0,0.494361,0.392028
1401,779,6509,0,0.516645,0.402466
1501,794,6466,0,0.509759,0.404748
1601,808,6631,0,0.505032,0.408066
1701,803,6590,0,0.499728,0.401282
1801,782,6551,0,0.488836,0.38227
1901,822,6663,0,0.524945,0.431504
2001,796,6765,0,0.486357,0.38714
2101,823,6797,0,0.511337,0.42083
2201,803,6825,0,0.501366,0.402597
2301,810,6838,0,0.521795,0.422654
2401,794,6781,0,0.513266,0.407533
2501,801,6770,1,0.514797,0.412352
2601,821,6730,0,0.50965,0.418422
2701,774,6875,0,0.486881,0.376846
2801,743,6684,0,0.501446,0.372575
2901,780,6757,0,0.474691,0.370259
3001,769,6816,0,0.485274,0.373176
3101,773,6784,0,0.50668,0.391664
3201,778,6912,0,0.489524,0.38085
3301,765,6756,0,0.49115,0.37573
3401,762,6774,0,0.500298,0.381227
3501,745,6956,0,0.477899,0.356035
3601,754,6901,0,0.510145,0.384649
3701,719,6936,0,0.489984,0.352299
3801,751,6937,0,0.493351,0.370506
3901,757,6802,0,0.520834,0.394271
4001,753,6903,0,0.504753,0.380079
4101,738,6990,0,0.506404,0.373726
4201,761,6888,0,0.491267,0.373854
4301,721,6944,0,0.496054,0.357655
4401,717,7044,0,0.489752,0.351152
4501,738,6952,0,0.482679,0.356217
4601,754,6910,0,0.501571,0.378184
4701,757,6964,0,0.496621,0.375942
4801,753,7067,0,0.498877,0.375655
4901,711,6862,0,0.514554,0.365848
5001,735,6980,0,0.505075,0.37123
5101,719,6826,0,0.485682,0.349205
5201,717,6831,0,0.505272,0.36228
5301,720,6866,0,0.509407,0.366773
5401,744,7008,0,0.515092,0.383228
5501,723,7043,0,0.519008,0.375243
5601,715,6829,0,0.511767,0.365913
5701,708,6946,0,0.505773,0.358087
5801,749,7000,0,0.497746,0.372812
5901,714,6907,0,0.523755,0.373961
6001,725,6842,0,0.52105,0.377761
6101,713,6888,0,0.51852,0.369705
6201,738,6956,0,0.496047,0.366082
6301,717,6964,0,0.483149,0.346418
6401,766,6835,0,0.490343,0.375603
6501,710,6882,0,0.491928,0.349269
6601,683,6797,0,0.49741,0.339731
6701,734,6962,0,0.503089,0.369268
6801,714,6923,0,0.497523,0.355232
6901,725,6942,0,0.519007,0.37628
7001,671,6796,0,0.50675,0.34003
