cycle,Population_size,Deleterious_muts,Beneficial_muts,Mean_fitness,Intrinsic_fitness
1,1000,0,0,1.0,1.0
101,835,3964,42,0.524311,0.437799
201,851,4296,53,0.496784,0.422763
301,830,4585,60,0.494708,0.410608
401,811,4578,60,0.497285,0.403298
501,782,4604,56,0.51334,0.401431
601,735,4677,73,0.494837,0.363705
701,798,4746,49,0.517933,0.413311
801,751,4685,60,0.52145,0.391609
901,754,4731,56,0.508422,0.38335
1001,724,4803,57,0.480596,0.347951
1101,724,4808,58,0.503632,0.36463
1201,743,4886,67,0.511284,0.379884
1301,725,4932,65,0.538555,0.390453
1401,759,4934,68,0.506354,0.384323
1501,758,4992,77,0.503613,0.381739
1601,763,4963,68,0.492696,0.375927
1701,740,5034,73,0.493144,0.364927
1801,720,4865,68,0.49715,0.357948
1901,751,5016,68,0.515468,0.387117
2001,722,5087,68,0.492544,0.355617
2101,738,5097,57,0.502207,0.370629
2201,748,5145,80,0.501138,0.374851
2301,735,5120,85,0.496191,0.3647
2401,712,5013,59,0.495267,0.35263
2501,705,5021,77,0.500267,0.352688
2601,740,5026,80,0.494792,0.366146
2701,748,5073,79,0.517934,0.387415
2801,753,5041,87,0.486755,0.366527
2901,715,5079,91,0.488786,0.349482
3001,675,5040,76,0.502899,0.339457
3101,712,5117,79,0.502483,0.357768
3201,725,5096,78,0.491137,0.356075
3301,705,5002,88,0.493221,0.347721
3401,733,5055,77,0.492237,0.36081
3501,678,5068,87,0.502249,0.340525
3601,704,5026,80,0.488094,0.343618
3701,705,5018,76,0.503353,0.354864
3801,717,5049,81,0.513972,0.368518
3901,683,5015,72,0.500204,0.341639
4001,682,5106,72,0.507051,0.345809
4101,698,5168,80,0.497496,0.347252
4201,687,5003,83,0.493319,0.33891
4301,673,5096,89,0.508904,0.342492
4401,680,5122,98,0.496889,0.337884
4501,704,4991,96,0.501969,0.353386
4601,709,5185,102,0.492491,0.349176
4701,702,5243,91,0.510678,0.358496
4801,728,5273,91,0.503174,0.366311
4901,731,5116,86,0.499228,0.364936
5001,686,5159,97,0.494216,0.339032
5101,730,5168,96,0.503291,0.367403
5201,688,4960,96,0.504267,0.346936
5301,720,5200,84,0.486952,0.350606
5401,683,5197,88,0.498778,0.340666
5501,677,4999,86,0.525615,0.355842
5601,685,5069,82,0.51706,0.354186
5701,700,5161,89,0.514211,0.359948
5801,727,5462,91,0.522955,0.380188
5901,714,5168,91,0.512366,0.365829
6001,718,5328,93,0.485074,0.348283
6101,687,5242,103,0.50048,0.34383
6201,697,5330,103,0.489221,0.340987
6301,689,5220,96,0.518744,0.357415
6401,689,5354,105,0.503137,0.346661
6501,712,5452,103,0.517993,0.368811
6601,699,5331,106,0.511771,0.357728
6701,719,5355,102,0.485127,0.348807
6801,706,5359,98,0.490049,0.345975
6901,696,5356,91,0.494323,0.344049
7001,719,5344,99,0.496708,0.357133
7101,696,5245,96,0.531504,0.369927
7201,714,5363,104,0.50724,0.362169
7301,692,5400,105,0.509924,0.352867
7401,726,5454,114,0.51018,0.37039
7501,674,5385,102,0.497997,0.33565
7601,711,5223,108,0.503096,0.357701
7701,700,5401,106,0.488144,0.341701
7801,695,5417,95,0.473988,0.329422
7901,711,5315,95,0.526333,0.374223
8001,712,5312,99,0.50429,0.359054
8101,706,5426,93,0.517341,0.365243
8201,671,5259,99,0.474131,0.318142
8301,696,5307,99,0.482486,0.33581
8401,713,5448,100,0.474531,0.33834
8501,693,5439,111,0.500928,0.347143
8601,697,5497,98,0.516389,0.359923
8701,707,5438,106,0.513987,0.363389
8801,701,5369,106,0.503613,0.353033
8901,668,5321,115,0.50821,0.339484
9001,687,5306,127,0.484602,0.332922
9101,704,5422,99,0.523438,0.368501
9201,643,5352,105,0.499201,0.320986
9301,680,5230,110,0.492611,0.334976
9401,677,5314,106,0.49161,0.33282
9501,660,5213,106,0.489356,0.322975
9601,694,5271,106,0.515441,0.357716
9701,636,5235,101,0.502912,0.319852
9801,658,5379,107,0.512964,0.33753
9901,705,5485,104,0.507293,0.357641
10001,636,5230,101,0.498198,0.316854
10101,663,5377,113,0.491734,0.32602
10201,634,5516,112,0.482315,0.305788
10301,629,5205,117,0.514134,0.32339
10401,661,5299,111,0.531385,0.351245
10501,691,5287,108,0.479673,0.331454
10601,640,5303,109,0.515494,0.329916
10701,672,5284,111,0.505841,0.339925
10801,650,5281,127,0.514674,0.334538
10901,650,5196,115,0.509112,0.330923
11001,638,5368,115,0.502085,0.32033
11101,672,5360,120,0.53084,0.356724
11201,639,5333,121,0.487767,0.311683
11301,647,5355,111,0.516047,0.333883
11401,648,5309,114,0.500696,0.324451
11501,651,5255,138,0.488957,0.318311
11601,682,5257,129,0.540478,0.368606
11701,658,5270,121,0.502023,0.330331
11801,647,5332,125,0.5021,0.324859
11901,638,5301,120,0.474334,0.302625
12001,629,5218,113,0.514567,0.323663
12101,632,5427,112,0.515884,0.326039
