cycle,Population_size,Deleterious_muts,Beneficial_muts,Mean_fitness,Intrinsic_fitness
1,1000,0,0,1.0,1.0
101,839,3899,2,0.513534,0.430855
201,803,4242,4,0.496492,0.398683
301,744,4508,6,0.502317,0.373724
401,790,4719,10,0.510537,0.403324
501,767,4706,7,0.506944,0.388826
601,792,4747,8,0.521661,0.413156
701,756,4794,11,0.486668,0.367921
801,739,4940,6,0.532933,0.393837
901,772,4899,9,0.481132,0.371434
1001,742,4945,9,0.492896,0.365729
1101,736,4892,10,0.507048,0.373187
1201,741,4871,15,0.498705,0.36954
1301,739,4998,11,0.500998,0.370238
1401,710,4955,10,0.495575,0.351858
1501,731,5051,9,0.516486,0.377552
1601,719,4931,11,0.49668,0.357113
1701,741,5048,3,0.515654,0.382099
1801,730,4958,8,0.504405,0.368215
1901,720,5035,7,0.529548,0.381275
2001,746,5091,4,0.510409,0.380765
2101,733,5040,11,0.509556,0.373505
2201,702,5093,12,0.505534,0.354885
2301,748,4965,9,0.524296,0.392173
2401,755,5061,9,0.500587,0.377943
2501,721,5150,7,0.501908,0.361876
2601,731,5026,9,0.496241,0.362752
2701,708,5074,8,0.50774,0.35948
2801,702,5096,10,0.505173,0.354632
2901,677,4999,7,0.496489,0.336123
3001,670,4937,8,0.516119,0.345799
3101,702,5088,9,0.524674,0.368321
3201,664,5054,9,0.483161,0.320819
3301,706,5125,7,0.487511,0.344183
3401,690,4927,4,0.521465,0.359811
3501,654,4907,4,0.510467,0.333846
3601,661,5001,6,0.487771,0.322417
3701,673,5197,3,0.486937,0.327708
3801,706,4986,4,0.500562,0.353397
3901,684,5039,11,0.484743,0.331564
4001,659,4972,5,0.524371,0.34556
4101,709,5041,9,0.523908,0.371451
4201,683,5005,6,0.504514,0.344583
4301,662,5113,6,0.517976,0.3429
4401,672,5044,7,0.503755,0.338523
4501,663,4934,10,0.511552,0.339159
4601,683,4953,6,0.512557,0.350077
4701,645,5121,4,0.519304,0.334951
4801,672,4943,2,0.521761,0.350623
4901,666,5042,5,0.481304,0.320548
5001,654,4879,3,0.491165,0.321222
5101,607,4876,4,0.499979,0.303487
5201,689,4937,7,0.490722,0.338107
5301,669,5084,9,0.485376,0.324717
5401,659,5071,6,0.506703,0.333917
5501,664,5037,8,0.536148,0.356002
5601,625,5049,3,0.499306,0.312066
5701,659,4998,4,0.518715,0.341834
5801,689,5090,3,0.513257,0.353634
5901,650,4985,10,0.499848,0.324901
6001,659,5041,6,0.507527,0.33446
6101,638,4995,9,0.488199,0.311471
6201,680,5042,5,0.478258,0.325216
6301,649,4882,5,0.49854,0.323553
6401,654,5072,6,0.500392,0.327256
6501,628,5009,4,0.512219,0.321674
6601,631,4954,5,0.508308,0.320743
6701,640,5010,3,0.50909,0.325817
6801,633,5131,6,0.503374,0.318635
6901,621,4835,6,0.493727,0.306604
7001,647,5029,4,0.503375,0.325684
7101,627,4971,8,0.499771,0.313357
7201,669,5101,6,0.533626,0.356996
7301,616,4975,7,0.517347,0.318686
7401,627,4984,6,0.49461,0.31012
7501,615,4944,8,0.491788,0.30245
7601,660,5012,4,0.489961,0.323375
7701,652,5102,5,0.497108,0.324114
7801,635,5036,5,0.509736,0.323682
7901,586,5000,6,0.473033,0.277197
8001,641,5018,6,0.512018,0.328204
8101,611,5018,9,0.524311,0.320354
8201,628,4992,6,0.529617,0.3326
8301,614,5002,6,0.505923,0.310637
8401,610,5026,7,0.478422,0.291837
8501,636,5150,7,0.492473,0.313213
8601,636,4930,12,0.520244,0.330875
8701,634,5108,9,0.483891,0.306787
8801,591,5007,8,0.491011,0.290187
8901,636,5020,8,0.510587,0.324733
9001,659,5031,10,0.54223,0.35733
9101,628,4967,9,0.529128,0.332293
9201,599,4955,11,0.499892,0.299435
9301,657,5108,7,0.504231,0.33128
9401,631,4952,9,0.480838,0.303409
9501,601,4952,11,0.506239,0.30425
9601,637,5064,8,0.509803,0.324744
9701,636,5071,11,0.515453,0.327828
9801,600,4948,12,0.482118,0.289271
9901,650,5054,10,0.52524,0.341406
10001,575,4914,10,0.487561,0.280348
10101,577,4922,10,0.48417,0.279366
10201,593,4926,9,0.474666,0.281477
10301,603,4919,13,0.507187,0.305834
10401,593,4784,14,0.51121,0.303147
10501,603,4926,15,0.488502,0.294567
10601,566,4838,14,0.49888,0.282366
10701,597,4975,20,0.481782,0.287624
10801,599,4938,15,0.527862,0.31619
10901,590,5062,18,0.508126,0.299795
11001,624,4972,17,0.502642,0.313648
11101,588,4864,16,0.519832,0.305661
11201,561,4960,13,0.50815,0.285072
11301,593,5025,18,0.504191,0.298985
11401,583,4862,17,0.513664,0.299466
11501,602,4869,19,0.496525,0.298908
11601,608,4852,18,0.480611,0.292212
11701,601,4923,16,0.513282,0.308482
11801,578,4856,17,0.485212,0.280452
11901,600,5005,16,0.474794,0.284876
12001,553,4803,14,0.487915,0.269817
12101,586,4862,14,0.513774,0.301072
12201,562,4747,15,0.485712,0.27297
12301,594,4837,16,0.513269,0.304882
12401,572,4854,14,0.504319,0.288471
12501,568,4945,16,0.482877,0.274274
12601,602,4890,18,0.496219,0.298724
12701,612,4894,18,0.491986,0.301096
12801,611,4818,16,0.503587,0.307692
12901,588,4947,14,0.503722,0.296188
13001,582,4972,15,0.494237,0.287646
13101,575,4988,16,0.508575,0.29243
13201,581,5018,17,0.4834,0.280855
13301,558,4992,14,0.510686,0.284963
13401,586,4955,17,0.490077,0.287185
13501,550,4986,18,0.50003,0.275017
13601,531,5020,17,0.505997,0.268684
13701,554,5010,16,0.51599,0.285858
13801,571,5024,20,0.514263,0.293644
13901,578,4938,15,0.509523,0.294504
14001,551,4929,14,0.508175,0.280005
14101,609,5085,17,0.488553,0.297529
14201,551,4954,16,0.490277,0.270142
14301,549,4941,15,0.495107,0.271814
14401,566,5001,14,0.511547,0.289536
14501,564,4979,13,0.517674,0.291968
14601,523,4825,15,0.501915,0.262502
14701,571,4919,17,0.508359,0.290273
14801,528,4842,16,0.49817,0.263034
14901,529,4935,17,0.529287,0.279993
15001,574,4922,15,0.505894,0.290383
15101,571,4962,13,0.50296,0.28719
15201,584,4965,15,0.511835,0.298912
15301,550,4857,12,0.522563,0.28741
15401,532,4912,15,0.487794,0.259506
15501,530,4827,15,0.493356,0.261479
15601,555,4940,13,0.489349,0.271589
15701,563,4902,15,0.528639,0.297624
15801,513,4996,18,0.481268,0.24689
15901,530,4776,13,0.485711,0.257427
16001,514,4897,17,0.491588,0.252676
16101,517,4795,19,0.497324,0.257116
16201,545,4825,16,0.538576,0.293524
16301,507,4756,17,0.499632,0.253313
16401,543,4773,17,0.520895,0.282846
16501,546,4969,19,0.5062,0.276385
16601,522,4967,13,0.495112,0.258449
16701,531,4902,13,0.490745,0.260586
16801,519,4802,13,0.491493,0.255085
16901,534,4920,13,0.488696,0.260964
17001,559,4937,12,0.517401,0.289227
17101,518,4863,12,0.493764,0.25577
17201,549,4872,12,0.490868,0.269486
17301,489,4845,15,0.507183,0.248013
17401,504,4871,13,0.486296,0.245093
17501,517,4791,16,0.521638,0.269687
17601,509,4825,14,0.482573,0.24563
17701,547,5018,16,0.511679,0.279889
17801,536,4938,17,0.500846,0.268454
17901,483,4818,14,0.497907,0.240489
18001,499,4786,21,0.517172,0.258069
18101,537,4936,16,0.521859,0.280239
18201,520,4815,12,0.509316,0.264845
18301,510,4773,13,0.506357,0.258242
18401,496,4852,12,0.508548,0.25224
18501,535,4934,12,0.498072,0.266468
18601,500,4866,11,0.48784,0.24392
18701,525,4934,12,0.488773,0.256606
18801,528,4795,12,0.508973,0.268738
18901,487,4943,14,0.508953,0.24786
19001,503,4950,14,0.487193,0.245058
19101,480,4747,13,0.525248,0.252119
19201,490,4775,15,0.511983,0.250871
19301,493,4745,16,0.488391,0.240777
19401,494,4855,14,0.490768,0.242439
19501,489,4782,14,0.521985,0.255251
19601,512,4938,13,0.521746,0.267134
19701,518,5007,14,0.514735,0.266633
19801,528,4926,14,0.490666,0.259072
19901,496,4902,13,0.51067,0.253292
20001,522,4845,13,0.496503,0.259175
20101,509,4852,11,0.497182,0.253066
20201,483,4816,15,0.485497,0.234495
20301,473,4842,13,0.514056,0.243148
20401,484,4804,16,0.509659,0.246675
20501,473,4840,12,0.468768,0.221727
20601,453,4727,12,0.529454,0.239843
20701,484,4847,12,0.473366,0.229109
20801,494,4845,13,0.527396,0.260534
20901,451,4807,16,0.489187,0.220623
21001,487,4742,16,0.540541,0.263243
21101,477,4805,15,0.526529,0.251154
21201,466,4738,15,0.513989,0.239519
21301,473,4841,13,0.553388,0.261752
21401,441,4785,13,0.498023,0.219628
21501,499,4871,16,0.520787,0.259873
21601,444,4743,18,0.48723,0.21633
21701,476,4813,16,0.477659,0.227366
21801,461,4900,18,0.520506,0.239953
21901,458,4859,15,0.496021,0.227178
22001,453,4897,15,0.512649,0.23223
22101,464,4810,14,0.487735,0.226309
22201,469,4757,18,0.491341,0.230439
22301,447,4672,18,0.48587,0.217184
22401,437,4720,19,0.496602,0.217015
22501,471,4818,16,0.50487,0.237794
22601,460,4857,18,0.500838,0.230386
22701,476,4847,15,0.504175,0.239987
22801,432,4882,15,0.48821,0.210907
22901,431,4777,16,0.525945,0.226682
23001,475,4805,17,0.498497,0.236786
23101,449,4888,16,0.543893,0.244208
23201,475,4960,16,0.529457,0.251492
23301,456,4821,16,0.496857,0.226567
23401,440,4773,19,0.514266,0.226277
23501,466,4939,16,0.500519,0.233242
23601,455,4857,17,0.509301,0.231732
23701,459,4955,16,0.477623,0.219229
23801,448,4888,15,0.483214,0.21648
23901,434,4781,16,0.494234,0.214498
24001,399,4726,18,0.523138,0.208732
24101,442,4805,19,0.476265,0.210509
24201,421,4739,19,0.515904,0.217196
24301,411,4723,17,0.525021,0.215784
24401,422,4807,18,0.487715,0.205816
24501,405,4788,17,0.51715,0.209446
24601,405,4693,19,0.488173,0.19771
24701,419,4855,18,0.509124,0.213323
24801,429,4887,18,0.494569,0.21217
24901,409,4812,18,0.493892,0.202002
25001,426,4736,18,0.481699,0.205204
25101,403,4652,17,0.515346,0.207684
25201,413,4705,16,0.496563,0.205081
25301,433,4811,17,0.498045,0.215654
25401,423,4800,17,0.495651,0.209661
25501,426,4681,16,0.491912,0.209554
25601,407,4664,18,0.510962,0.207961
25701,383,4742,18,0.555055,0.212586
25801,401,4665,14,0.507989,0.203703
25901,408,4544,18,0.498844,0.203529
26001,385,4723,17,0.491742,0.189321
26101,399,4680,19,0.537872,0.214611
26201,409,4792,16,0.540718,0.221154
26301,372,4560,16,0.499357,0.185761
26401,382,4744,17,0.504591,0.192754
26501,369,4686,16,0.494133,0.182335
26601,386,4668,17,0.468707,0.180921
26701,410,4668,15,0.509016,0.208696
26801,366,4541,16,0.494469,0.180976
26901,399,4699,18,0.527241,0.210369
27001,371,4715,15,0.496445,0.184181
27101,374,4628,17,0.506691,0.189503
