cycle,Population_size,Deleterious_muts,Beneficial_muts,Mean_fitness,Intrinsic_fitness
1,1000,0,0,1.0,1.0
101,883,3955,3,0.498992,0.44061
201,820,4295,6,0.519678,0.426136
301,783,4595,8,0.492023,0.385254
401,795,4706,7,0.490374,0.389847
501,817,4757,11,0.486109,0.397151
601,771,4798,7,0.508756,0.392251
701,766,4793,7,0.523489,0.400993
801,781,4828,6,0.490013,0.3827
901,740,4799,7,0.471295,0.348758
1001,759,4829,5,0.491286,0.372886
1101,758,4982,6,0.507492,0.384679
1201,744,4907,12,0.519437,0.386461
1301,728,4928,4,0.502347,0.365709
1401,702,4877,6,0.503265,0.353292
1501,731,4904,7,0.497596,0.363743
1601,739,4868,4,0.513888,0.379763
1701,726,4984,3,0.500096,0.36307
1801,721,4886,4,0.492835,0.355334
1901,738,5117,7,0.486792,0.359253
2001,719,4993,3,0.490374,0.352579
2101,725,5057,2,0.498851,0.361667
2201,720,5022,3,0.518868,0.373585
2301,708,5115,6,0.507221,0.359113
2401,725,5044,3,0.500237,0.362672
2501,718,5018,4,0.488122,0.350472
2601,708,4879,4,0.510956,0.361757
2701,707,4987,6,0.503666,0.356092
2801,711,5141,3,0.506838,0.360362
2901,687,5058,2,0.484262,0.332688
3001,719,5038,6,0.514043,0.369597
3101,706,5127,4,0.500522,0.353369
3201,733,5098,6,0.522643,0.383097
3301,708,5214,6,0.495904,0.3511
3401,723,5153,6,0.517063,0.373837
3501,706,5143,6,0.518707,0.366207
3601,682,5311,8,0.487151,0.332237
3701,728,5287,7,0.482965,0.351598
3801,678,5045,4,0.499706,0.338801
3901,668,4876,6,0.504595,0.337069
4001,701,4960,4,0.518571,0.363518
4101,684,5085,8,0.490732,0.335661
4201,738,5048,9,0.510946,0.377078
4301,693,5106,8,0.513054,0.355546
4401,676,5082,10,0.527777,0.356777
4501,705,5122,11,0.490997,0.346153
4601,710,5189,12,0.504729,0.358357
4701,692,5199,14,0.520284,0.360036
4801,707,5297,11,0.493432,0.348856
4901,698,5243,14,0.499492,0.348645
5001,664,5209,11,0.49515,0.328779
5101,688,5202,11,0.496374,0.341505
5201,656,5152,9,0.503872,0.33054
5301,698,5075,11,0.491834,0.3433
5401,651,5053,11,0.528766,0.344227
5501,641,4939,8,0.501861,0.321693
5601,661,5004,8,0.515028,0.340434
5701,660,4956,8,0.484166,0.31955
5801,639,5134,6,0.494515,0.315995
5901,682,5127,7,0.490076,0.334232
6001,646,5292,12,0.507205,0.327655
6101,662,5192,11,0.499749,0.330834
6201,654,5114,7,0.51357,0.335875
6301,637,5043,8,0.531938,0.338844
6401,659,5159,10,0.485592,0.320005
6501,650,5127,8,0.49113,0.319234
6601,652,5165,7,0.488159,0.318279
6701,664,5110,7,0.486587,0.323093
6801,639,5099,7,0.491757,0.314233
6901,637,5082,10,0.510044,0.324898
7001,636,4983,12,0.502235,0.319422
7101,612,4911,8,0.510197,0.312241
7201,604,4963,8,0.485233,0.293081
7301,620,5015,10,0.497062,0.308178
7401,631,5070,8,0.504749,0.318497
7501,634,4992,9,0.495933,0.314422
7601,637,5043,11,0.48938,0.311735
7701,658,5155,12,0.510828,0.336125
7801,666,5103,9,0.487327,0.32456
7901,637,5147,11,0.492789,0.313907
8001,616,5177,15,0.483111,0.297596
8101,609,5114,13,0.496744,0.302517
8201,638,5054,14,0.507333,0.323678
8301,657,5135,15,0.486273,0.319481
8401,664,5070,17,0.51742,0.343567
8501,617,5091,15,0.514139,0.317224
8601,638,5120,15,0.499161,0.318465
8701,643,5094,11,0.493235,0.31715
8801,633,5183,13,0.504908,0.319607
8901,616,5150,12,0.51285,0.315915
9001,610,5056,12,0.494969,0.301931
9101,615,5097,10,0.496564,0.305387
9201,636,5213,15,0.505359,0.321408
9301,622,5156,11,0.502824,0.312756
9401,597,5239,10,0.510356,0.304682
9501,639,5317,10,0.490234,0.31326
9601,621,5157,11,0.519827,0.322812
9701,630,5064,9,0.517377,0.325948
9801,581,5012,12,0.472741,0.274662
9901,623,4978,15,0.509335,0.317316
10001,612,4973,11,0.487462,0.298327
10101,573,4881,13,0.507538,0.29082
10201,618,5060,10,0.482932,0.298452
10301,572,4899,12,0.506435,0.289681
10401,563,4987,12,0.510648,0.287495
10501,591,5014,11,0.510586,0.301756
10601,607,5108,16,0.491578,0.298388
10701,589,5040,15,0.545563,0.321337
10801,591,4907,10,0.505248,0.298602
10901,585,4979,13,0.53058,0.310389
11001,604,4896,11,0.501221,0.302737
11101,595,4981,7,0.513278,0.305401
11201,585,5065,13,0.497951,0.291301
11301,622,5100,14,0.485308,0.301861
11401,605,5069,11,0.513883,0.310899
11501,577,5014,11,0.506537,0.292272
11601,577,4946,13,0.484647,0.279641
11701,579,5075,13,0.514952,0.298157
11801,561,5012,13,0.500578,0.280824
11901,572,4971,15,0.504128,0.288361
12001,578,4877,15,0.523301,0.302468
12101,570,4979,11,0.501735,0.285989
12201,598,5068,13,0.495088,0.296063
12301,603,5028,10,0.488733,0.294706
12401,570,4939,13,0.521495,0.297252
12501,554,4995,7,0.505128,0.279841
12601,539,4924,11,0.533024,0.2873
12701,564,4985,13,0.527643,0.297591
12801,549,5017,8,0.501888,0.275536
12901,589,5079,10,0.519631,0.306063
13001,603,5192,10,0.494201,0.298003
13101,586,5106,11,0.479319,0.280881
13201,590,5028,10,0.520931,0.307349
13301,565,4972,12,0.511215,0.288837
13401,576,5006,13,0.522099,0.300729
13501,560,4988,12,0.505937,0.283325
13601,576,4890,15,0.491081,0.282863
13701,551,4924,10,0.508595,0.280236
13801,565,5022,11,0.509524,0.287881
13901,583,4995,13,0.507112,0.295646
14001,569,5030,13,0.502097,0.285693
14101,540,4987,14,0.529806,0.286095
14201,544,5025,9,0.501494,0.272813
14301,564,5003,12,0.503429,0.283934
14401,570,5020,12,0.514957,0.293526
14501,560,4964,11,0.486414,0.272392
14601,558,4914,13,0.496067,0.276805
14701,544,4884,17,0.509685,0.277268
14801,529,4979,14,0.499641,0.26431
14901,550,4898,15,0.522338,0.287286
15001,558,5068,19,0.482254,0.269098
15101,556,5004,17,0.500408,0.278227
15201,558,5024,18,0.506489,0.282621
15301,530,4969,16,0.502146,0.266138
15401,527,5090,18,0.479076,0.252473
15501,540,4913,16,0.541657,0.292495
15601,535,5058,14,0.487626,0.26088
15701,562,5086,14,0.500131,0.281073
15801,512,4951,13,0.493682,0.252765
15901,499,5007,12,0.530978,0.264958
16001,543,5026,11,0.501815,0.272486
16101,479,4987,12,0.514015,0.246213
16201,549,5013,15,0.509021,0.279453
16301,546,4889,15,0.55248,0.301654
16401,537,4970,12,0.497645,0.267236
16501,504,4929,14,0.529765,0.267002
