cycle,Population_size,Deleterious_muts,Beneficial_muts,Mean_fitness,Intrinsic_fitness
1,1000,0,0,1.0,1.0
101,815,3949,0,0.516275,0.420764
201,833,4319,0,0.52415,0.436617
301,812,4470,0,0.530689,0.430919
401,788,4628,0,0.497048,0.391674
501,768,4634,0,0.501816,0.385395
601,790,4719,0,0.516966,0.408403
701,775,4696,0,0.522849,0.405208
801,774,4754,0,0.503185,0.389465
901,747,4804,0,0.503198,0.375889
1001,776,4834,0,0.500641,0.388497
1101,755,4916,0,0.482982,0.364651
1201,742,5002,0,0.492537,0.365462
1301,720,5019,0,0.518759,0.373506
1401,729,5154,0,0.515269,0.375631
1501,739,4896,0,0.51542,0.380895
1601,731,4940,0,0.535942,0.391773
1701,735,4945,0,0.496115,0.364644
1801,741,4814,0,0.498131,0.369115
1901,711,4845,0,0.494938,0.351901
2001,715,4919,0,0.491594,0.35149
2101,698,4917,0,0.498146,0.347706
2201,723,4975,0,0.512317,0.370405
2301,739,4974,0,0.513013,0.379117
2401,689,5000,0,0.502856,0.346468
2501,685,5070,0,0.51051,0.3497
2601,696,5044,0,0.500567,0.348395
2701,695,5192,0,0.494836,0.343911
2801,684,5120,0,0.497564,0.340334
2901,713,5169,0,0.503349,0.358888
3001,715,4985,0,0.483633,0.345798
3101,661,5026,0,0.513909,0.339694
3201,700,5001,0,0.505673,0.353971
3301,712,5096,0,0.522264,0.371852
3401,686,5003,0,0.490098,0.336207
3501,680,4999,0,0.515783,0.350733
3601,672,5172,0,0.502676,0.337798
3701,690,5034,0,0.520535,0.359169
3801,668,4955,0,0.484198,0.323444
3901,685,5031,0,0.525095,0.35969
4001,680,5156,0,0.513244,0.349006
4101,686,4951,0,0.504661,0.346197
4201,720,5285,0,0.497102,0.357914
4301,688,5172,0,0.496872,0.341848
4401,653,5045,0,0.521371,0.340455
4501,686,5066,0,0.526747,0.361348
4601,688,5007,0,0.505891,0.348053
4701,688,4898,0,0.49837,0.342879
4801,661,4981,0,0.505598,0.3342
4901,722,5195,0,0.500232,0.361168
5001,699,5147,0,0.512765,0.358422
5101,651,4910,0,0.519318,0.338076
5201,680,5012,0,0.474541,0.322688
5301,646,5071,0,0.480884,0.310651
5401,673,5198,0,0.510126,0.343315
5501,654,5147,0,0.509889,0.333468
5601,617,4932,0,0.496601,0.306403
5701,662,4990,0,0.543629,0.359882
5801,651,4991,0,0.527418,0.343349
5901,634,4999,0,0.510409,0.323599
6001,656,5093,0,0.505619,0.331686
6101,689,5123,0,0.479833,0.330605
6201,621,5068,0,0.481504,0.299014
6301,610,4993,0,0.493817,0.301229
6401,663,5040,0,0.509582,0.337853
6501,643,4992,0,0.500704,0.321953
6601,668,5089,0,0.488207,0.326123
6701,604,5132,0,0.491141,0.296649
6801,646,4969,0,0.48211,0.311443
6901,679,5122,0,0.532898,0.361838
7001,636,5040,0,0.496322,0.315661
7101,664,5092,0,0.481439,0.319675
7201,644,5055,0,0.481508,0.310091
7301,640,5201,0,0.484924,0.310351
7401,614,4981,0,0.509012,0.312534
7501,604,4966,0,0.502088,0.303261
7601,601,4899,0,0.510642,0.306896
7701,621,5105,0,0.484597,0.300935
7801,638,5077,0,0.507853,0.32401
7901,658,5102,0,0.480839,0.316392
8001,621,5004,0,0.491117,0.304984
8101,649,5126,0,0.492327,0.31952
8201,621,5045,0,0.513107,0.31864
8301,628,5071,0,0.531952,0.334066
8401,626,5033,0,0.51581,0.322897
8501,610,4868,0,0.510129,0.311179
8601,618,4982,0,0.502688,0.310661
8701,633,4912,0,0.514573,0.325724
8801,620,5061,0,0.496484,0.30782
8901,652,5113,0,0.519108,0.338458
9001,627,5114,0,0.490281,0.307406
9101,630,4976,0,0.497083,0.313163
9201,625,4968,0,0.500563,0.312852
9301,617,5044,0,0.492984,0.304171
9401,588,4990,0,0.492862,0.289803
9501,616,4973,0,0.498346,0.306981
9601,624,4929,0,0.519276,0.324028
9701,652,5037,0,0.499838,0.325895
9801,595,4889,0,0.491703,0.292563
9901,640,5014,0,0.529838,0.339097
10001,601,5008,0,0.513888,0.308846
10101,611,4937,0,0.497466,0.303952
10201,587,4883,0,0.513323,0.30132
10301,595,4919,0,0.508351,0.302469
10401,612,5045,0,0.499753,0.305849
10501,597,4936,0,0.513789,0.306732
10601,622,4956,0,0.496615,0.308894
10701,595,4961,0,0.509011,0.302861
10801,606,4888,0,0.498292,0.301965
10901,595,4923,0,0.50015,0.29759
11001,613,4855,0,0.523932,0.32117
11101,600,5119,0,0.502312,0.301387
11201,584,5012,0,0.504856,0.294836
11301,590,4949,0,0.485229,0.286285
11401,570,4900,0,0.485826,0.276921
11501,563,4733,0,0.512654,0.288624
11601,587,4896,0,0.477205,0.280119
11701,593,4901,0,0.50436,0.299086
11801,544,4785,0,0.50237,0.273289
11901,570,4756,0,0.499771,0.284869
12001,606,4912,0,0.505194,0.306148
12101,568,4906,0,0.497007,0.2823
12201,581,4913,0,0.520159,0.302213
12301,596,4863,0,0.492041,0.293256
12401,574,4852,0,0.538328,0.309
12501,579,4958,0,0.519559,0.300825
12601,525,4780,0,0.500534,0.26278
12701,571,4893,0,0.501204,0.286188
12801,580,4926,1,0.505203,0.293017
12901,566,4921,0,0.498426,0.282109
13001,585,4954,0,0.502278,0.293833
13101,604,4965,0,0.503061,0.303849
13201,573,4911,0,0.515628,0.295455
13301,570,4957,0,0.515313,0.293729
13401,553,4856,0,0.505374,0.279472
13501,555,4820,0,0.519338,0.288233
13601,581,4950,0,0.465549,0.270484
13701,541,4781,0,0.486744,0.263328
13801,577,4950,0,0.49057,0.283059
13901,564,4905,0,0.535003,0.301742
14001,540,4841,0,0.524729,0.283353
14101,524,4853,0,0.487028,0.255203
14201,553,4912,0,0.513258,0.283831
14301,560,4878,0,0.490062,0.274435
14401,545,4758,0,0.50589,0.27571
14501,553,4860,0,0.492023,0.272089
14601,577,4947,0,0.519844,0.29995
14701,555,4886,0,0.507211,0.281502
14801,548,4979,0,0.491556,0.269373
14901,565,4953,0,0.511795,0.289164
15001,561,4830,0,0.515773,0.289349
15101,582,4767,0,0.519577,0.302394
15201,551,4867,0,0.484072,0.266724
15301,572,4980,0,0.523404,0.299387
15401,513,4796,0,0.502298,0.257679
15501,524,4937,0,0.475421,0.249121
15601,545,4889,0,0.522421,0.284719
15701,536,4836,0,0.487669,0.26139
15801,553,4843,0,0.526767,0.291302
15901,542,4759,0,0.507495,0.275062
16001,511,4912,0,0.492869,0.251856
16101,541,4758,0,0.504203,0.272774
16201,528,4811,0,0.489188,0.258292
16301,523,4799,0,0.492218,0.25743
16401,580,4880,0,0.529352,0.307024
16501,556,4886,0,0.506544,0.281639
16601,521,4897,0,0.509885,0.26565
16701,505,4767,0,0.497883,0.251431
16801,546,4947,0,0.549743,0.30016
16901,510,4803,0,0.529175,0.269879
17001,519,4855,0,0.510317,0.264855
17101,529,4840,0,0.501014,0.265037
17201,529,4829,0,0.520746,0.275475
17301,533,4912,0,0.511895,0.27284
17401,541,4922,0,0.520044,0.281344
17501,529,4827,0,0.477707,0.252707
17601,507,4742,0,0.512898,0.260039
17701,522,4805,0,0.502986,0.262559
17801,519,4853,0,0.526008,0.272998
17901,497,4754,0,0.507817,0.252385
18001,493,4936,0,0.510002,0.251431
18101,491,4834,0,0.504585,0.247751
18201,533,4862,0,0.517437,0.275794
18301,514,4917,0,0.521582,0.268093
18401,498,4835,0,0.494522,0.246272
18501,475,4699,0,0.508011,0.241305
18601,483,4927,0,0.508416,0.245565
18701,489,4683,0,0.503753,0.246335
18801,493,4793,0,0.478301,0.235802
18901,473,4744,0,0.506632,0.239637
19001,482,4704,0,0.507645,0.244685
19101,472,4721,0,0.490667,0.231595
19201,493,4775,0,0.514393,0.253596
19301,483,4762,0,0.496739,0.239925
19401,492,4784,0,0.530908,0.261207
19501,495,4737,0,0.515343,0.255095
19601,480,4805,0,0.505453,0.242617
19701,482,4847,0,0.518129,0.249738
19801,511,4692,0,0.499314,0.25515
19901,480,4752,0,0.481493,0.231117
20001,489,4790,0,0.52173,0.255126
20101,481,4640,0,0.525101,0.252574
20201,455,4628,0,0.498213,0.226687
20301,487,4709,0,0.513245,0.24995
20401,466,4713,0,0.491641,0.229105
20501,462,4724,0,0.490647,0.226679
20601,454,4666,0,0.474097,0.21524
20701,452,4740,0,0.491387,0.222107
20801,460,4806,0,0.4978,0.228988
20901,479,4761,0,0.513301,0.245871
21001,454,4787,0,0.500677,0.227307
21101,462,4708,0,0.484118,0.223662
21201,470,4720,0,0.518578,0.243732
21301,486,4767,0,0.50984,0.247782
21401,461,4772,0,0.511531,0.235816
21501,483,4770,0,0.527643,0.254852
21601,428,4634,0,0.533714,0.22843
21701,468,4819,0,0.506876,0.237218
21801,447,4775,0,0.513292,0.229442
21901,444,4751,0,0.552442,0.245284
22001,470,4825,0,0.484896,0.227901
