cycle,Population_size,Deleterious_muts,Beneficial_muts,Mean_fitness,Intrinsic_fitness
1,1000,0,0,1.0,1.0
101,871,3978,41,0.496,0.432016
201,811,4432,45,0.488942,0.396532
301,797,4554,53,0.498383,0.397211
401,797,4518,56,0.50992,0.406406
501,801,4666,67,0.541996,0.434139
601,746,4764,61,0.502639,0.374968
701,773,4659,59,0.490216,0.378937
801,800,4863,64,0.498435,0.398748
901,744,4568,73,0.499291,0.371473
1001,757,4834,49,0.499769,0.378325
1101,786,4927,60,0.522167,0.410423
1201,741,4903,71,0.490623,0.363551
1301,776,4954,60,0.475413,0.36892
1401,756,4881,57,0.480681,0.363395
1501,761,4833,72,0.518181,0.394336
1601,710,4807,52,0.484221,0.343797
1701,735,4912,65,0.523684,0.384908
1801,738,5010,74,0.489032,0.360906
1901,740,4982,70,0.503392,0.37251
2001,695,4894,73,0.513897,0.357159
2101,706,5058,61,0.515681,0.36407
2201,735,4934,68,0.481164,0.353656
2301,710,5106,71,0.522681,0.371103
2401,756,4984,64,0.514577,0.38902
2501,715,5199,76,0.485715,0.347286
2601,734,4963,70,0.4794,0.35188
2701,720,5091,73,0.492746,0.354777
2801,725,5102,65,0.477493,0.346183
2901,711,5191,67,0.499596,0.355213
3001,704,5010,79,0.503262,0.354296
3101,735,5142,71,0.524002,0.385142
3201,690,5111,60,0.476519,0.328798
3301,715,5053,75,0.514802,0.368084
3401,673,5057,73,0.499375,0.33608
3501,710,5218,68,0.499165,0.354407
3601,692,5113,71,0.494995,0.342537
3701,709,5084,63,0.52191,0.370034
3801,688,5174,70,0.479705,0.330037
3901,705,5183,65,0.516212,0.363929
4001,670,5091,65,0.495274,0.331834
4101,704,5038,62,0.491339,0.345903
4201,736,5185,68,0.536877,0.395141
4301,708,5126,82,0.470628,0.333205
4401,688,5159,91,0.483376,0.332563
4501,736,5310,91,0.504645,0.371419
4601,741,5093,81,0.508477,0.376782
4701,727,5079,83,0.521262,0.378957
4801,682,5133,85,0.497077,0.339006
4901,696,5063,91,0.528291,0.36769
5001,731,5212,82,0.50532,0.369389
5101,683,5260,89,0.496712,0.339254
5201,700,5331,99,0.487428,0.3412
5301,704,5309,97,0.495589,0.348895
5401,679,5261,99,0.493141,0.334843
5501,703,5361,103,0.499929,0.35145
5601,725,5268,97,0.506651,0.367322
5701,720,5388,97,0.478976,0.344863
5801,726,5457,87,0.501547,0.364123
5901,710,5299,95,0.490355,0.348152
6001,715,5427,101,0.504323,0.360591
6101,751,5334,92,0.520152,0.390634
6201,742,5371,95,0.510726,0.378958
6301,731,5446,93,0.496515,0.362952
6401,697,5355,87,0.525141,0.366023
6501,689,5338,94,0.503038,0.346593
6601,684,5367,97,0.503412,0.344334
6701,670,5282,93,0.504039,0.337706
6801,676,5261,95,0.51383,0.347349
6901,673,5220,88,0.512089,0.344636
7001,704,5312,103,0.507193,0.357064
7101,712,5311,96,0.525761,0.374342
7201,677,5421,124,0.482305,0.326521
7301,691,5374,106,0.516938,0.357204
7401,704,5338,109,0.49031,0.345178
7501,690,5369,108,0.517687,0.357204
7601,687,5311,109,0.513686,0.352902
7701,714,5408,102,0.507031,0.36202
7801,676,5320,104,0.508152,0.343511
7901,705,5459,121,0.506694,0.35722
8001,718,5313,123,0.517298,0.37142
8101,710,5261,117,0.500317,0.355225
8201,710,5382,112,0.506973,0.359951
8301,697,5403,110,0.498216,0.347257
8401,699,5273,119,0.490464,0.342835
8501,682,5291,111,0.517488,0.352927
8601,699,5377,116,0.488276,0.341305
8701,667,5348,118,0.50076,0.334007
8801,691,5360,101,0.503833,0.348149
8901,684,5358,106,0.51042,0.349127
9001,693,5401,113,0.497671,0.344886
9101,720,5284,125,0.472061,0.339884
9201,693,5431,126,0.48648,0.337131
9301,683,5462,132,0.486673,0.332398
9401,687,5421,117,0.524057,0.360027
9501,674,5295,122,0.508152,0.342495
9601,687,5344,106,0.500371,0.343755
9701,688,5342,113,0.483227,0.33246
