cycle,Population_size,Deleterious_muts,Beneficial_muts,Mean_fitness,Intrinsic_fitness
1,1000,0,0,1.0,1.0
101,702,1929,35,0.533869,0.374776
201,696,1999,36,0.516705,0.359627
301,637,1998,40,0.511235,0.325657
401,666,1881,34,0.495203,0.329805
501,632,1968,33,0.530238,0.33511
601,661,2045,47,0.521408,0.344651
701,693,2042,49,0.544944,0.377646
801,677,2053,44,0.490879,0.332325
901,641,1998,40,0.533618,0.342049
1001,663,2027,41,0.530904,0.351989
1101,711,2133,52,0.539647,0.383689
1201,672,2057,48,0.515089,0.34614
1301,679,2092,55,0.522064,0.354481
1401,671,2029,54,0.508908,0.341477
1501,695,2219,56,0.514242,0.357398
1601,678,2118,59,0.514693,0.348962
1701,666,2176,55,0.51063,0.34008
1801,638,2147,52,0.502051,0.320308
1901,651,2142,60,0.512527,0.333655
2001,663,2061,45,0.510898,0.338726
2101,651,2095,50,0.519104,0.337936
2201,678,2180,64,0.521911,0.353856
2301,668,2184,53,0.535182,0.357501
2401,670,2027,52,0.531573,0.356154
2501,652,2120,62,0.549895,0.358532
2601,643,2124,62,0.52273,0.336115
2701,670,2097,58,0.54244,0.363435
2801,645,2104,64,0.532875,0.343705
2901,636,2103,64,0.541282,0.344256
3001,649,2122,57,0.521673,0.338565
3101,679,2147,61,0.498888,0.338745
3201,672,2151,57,0.520064,0.349483
3301,667,2153,61,0.526831,0.351396
3401,678,2079,63,0.530696,0.359812
3501,665,2112,75,0.524291,0.348653
3601,633,2143,64,0.548335,0.347096
3701,629,2134,69,0.521405,0.327964
3801,653,2129,68,0.546772,0.357042
3901,668,2141,66,0.521554,0.348398
4001,682,2242,66,0.523791,0.357225
4101,672,2200,65,0.524951,0.352767
4201,697,2181,73,0.535161,0.373007
4301,670,2100,76,0.551287,0.369362
4401,656,2142,58,0.536464,0.35192
4501,704,2183,82,0.518836,0.365261
4601,654,2109,79,0.55416,0.36242
4701,648,2166,87,0.514316,0.333276
4801,674,2164,93,0.519698,0.350276
4901,679,2114,88,0.506458,0.343885
5001,672,2110,86,0.523089,0.351516
5101,665,2191,90,0.519035,0.345158
5201,636,2152,89,0.510905,0.324935
5301,678,2308,85,0.514426,0.348781
5401,664,2124,84,0.520296,0.345476
5501,637,2120,88,0.512852,0.326687
5601,655,2157,77,0.533387,0.349369
5701,680,2224,82,0.522181,0.355083
5801,695,2247,85,0.521284,0.362292
5901,670,2174,85,0.529771,0.354946
6001,655,2117,95,0.518472,0.339599
6101,690,2162,91,0.552183,0.381006
6201,671,2182,81,0.532022,0.356987
6301,678,2255,84,0.506407,0.343344
6401,663,2086,74,0.520786,0.345281
6501,659,2170,77,0.517587,0.34109
6601,638,2126,77,0.509423,0.325012
6701,666,2226,73,0.516604,0.344058
6801,686,2141,75,0.530237,0.363743
6901,661,2191,80,0.528274,0.349189
7001,660,2176,68,0.517903,0.341816
7101,638,2192,74,0.55798,0.355991
7201,662,2126,78,0.509163,0.337066
