cycle,Population_size,Deleterious_muts,Beneficial_muts,Mean_fitness,Intrinsic_fitness
1,1000,0,0,1.0,1.0
101,710,1312,26,0.572082,0.406178
201,706,1355,39,0.551694,0.389496
301,681,1393,33,0.554376,0.37753
401,684,1453,54,0.566871,0.38774
501,674,1451,47,0.549616,0.370441
601,705,1372,43,0.558359,0.393643
701,707,1425,46,0.539273,0.381266
801,678,1505,48,0.590698,0.400493
901,640,1432,50,0.576467,0.368939
1001,658,1417,44,0.568681,0.374192
1101,675,1421,43,0.573869,0.387361
1201,681,1424,47,0.544751,0.370975
1301,666,1378,53,0.544726,0.362788
1401,678,1460,52,0.54097,0.366778
1501,654,1412,47,0.546502,0.357412
1601,696,1440,51,0.578717,0.402787
1701,670,1462,47,0.576581,0.386309
1801,723,1507,59,0.553188,0.399955
1901,704,1491,50,0.526866,0.370914
2001,657,1494,68,0.540837,0.35533
2101,715,1572,66,0.553005,0.395399
2201,699,1514,71,0.556206,0.388788
2301,654,1527,69,0.551245,0.360514
2401,668,1478,62,0.55392,0.370019
2501,705,1569,66,0.528983,0.372933
2601,706,1501,63,0.549539,0.387974
2701,658,1475,68,0.562364,0.370035
2801,649,1477,73,0.57472,0.372993
2901,673,1480,68,0.533545,0.359076
3001,672,1490,62,0.541261,0.363727
3101,703,1553,69,0.558073,0.392326
3201,683,1550,75,0.586107,0.400311
3301,666,1474,66,0.539548,0.359339
3401,663,1433,60,0.523498,0.347079
3501,711,1610,63,0.547871,0.389536
3601,716,1570,61,0.542854,0.388683
3701,688,1552,59,0.555733,0.382344
3801,708,1571,63,0.559916,0.39642
3901,695,1476,68,0.57489,0.399548
4001,659,1518,69,0.549978,0.362436
4101,682,1525,76,0.561882,0.383204
4201,670,1511,73,0.548647,0.367594
4301,678,1473,65,0.531138,0.360111
4401,658,1563,64,0.572168,0.376486
4501,683,1535,66,0.575544,0.393097
4601,661,1561,74,0.557824,0.368721
4701,702,1560,76,0.552174,0.387626
4801,701,1588,69,0.569233,0.399032
4901,685,1600,79,0.568432,0.389376
5001,688,1522,57,0.558493,0.384244
5101,723,1478,78,0.576497,0.416807
5201,689,1521,69,0.546874,0.376796
5301,663,1542,70,0.537592,0.356423
5401,668,1527,66,0.554964,0.370716
5501,682,1583,62,0.563725,0.38446
5601,649,1480,74,0.535314,0.347419
5701,689,1582,77,0.543148,0.374229
5801,696,1557,72,0.54016,0.375951
5901,700,1615,76,0.568186,0.39773
6001,728,1553,77,0.554678,0.403806
6101,689,1557,83,0.512162,0.35288
6201,682,1494,77,0.596648,0.406914
6301,686,1461,85,0.559633,0.383909
6401,710,1574,82,0.555,0.39405
6501,689,1522,76,0.561049,0.386563
6601,685,1531,74,0.546765,0.374534
6701,663,1544,69,0.57538,0.381477
6801,702,1609,77,0.531793,0.373319
6901,669,1611,77,0.547719,0.366424
7001,691,1593,79,0.545808,0.377153
7101,686,1555,79,0.575796,0.394996
7201,696,1533,87,0.563596,0.392263
7301,679,1581,82,0.550487,0.37378
7401,672,1544,64,0.574111,0.385803
7501,687,1546,86,0.539134,0.370385
7601,749,1542,85,0.561096,0.420261
7701,683,1594,89,0.53062,0.362413
7801,650,1531,76,0.559268,0.363524
7901,719,1584,79,0.567762,0.408221
8001,714,1595,89,0.558244,0.398586
8101,709,1606,100,0.549768,0.389786
8201,674,1601,88,0.559859,0.377345
8301,701,1633,83,0.560972,0.393242
8401,693,1556,100,0.553942,0.383882
8501,698,1583,92,0.54656,0.381499
8601,689,1595,92,0.542176,0.37356
8701,756,1639,111,0.526638,0.398139
8801,699,1580,100,0.571761,0.399661
8901,708,1648,98,0.549882,0.389317
9001,677,1660,91,0.562795,0.381012
9101,696,1628,114,0.547375,0.380973
9201,711,1603,94,0.53767,0.382283
9301,721,1553,97,0.546091,0.393731
9401,687,1581,99,0.556245,0.38214
9501,702,1566,104,0.591438,0.41519
9601,717,1608,99,0.568004,0.407259
9701,693,1605,92,0.538792,0.373383
9801,732,1621,103,0.573765,0.419996
9901,758,1655,105,0.589374,0.446746
10001,737,1641,101,0.576964,0.425222
10101,725,1704,99,0.529368,0.383792
