cycle,Population_size,Deleterious_muts,Beneficial_muts,Mean_fitness,Intrinsic_fitness
1,1000,0,0,1.0,1.0
101,678,1371,21,0.544735,0.369331
201,684,1413,36,0.548016,0.374843
301,695,1437,40,0.550914,0.382885
401,631,1391,33,0.552285,0.348492
501,729,1414,31,0.552028,0.402428
601,657,1384,37,0.570797,0.375014
701,671,1422,39,0.550228,0.369203
801,664,1422,46,0.608914,0.404319
901,706,1475,52,0.565561,0.399286
1001,676,1461,47,0.529969,0.358259
1101,698,1403,40,0.552941,0.385953
1201,670,1427,47,0.547666,0.366936
1301,663,1460,52,0.542466,0.359655
1401,670,1504,52,0.561762,0.376381
1501,702,1489,47,0.54059,0.379494
1601,715,1461,39,0.562801,0.402403
1701,661,1521,56,0.530023,0.350345
1801,697,1552,53,0.540105,0.376453
1901,635,1529,51,0.555483,0.352732
2001,696,1528,49,0.523879,0.36462
2101,674,1456,53,0.538005,0.362616
2201,668,1459,69,0.565396,0.377684
2301,672,1429,69,0.578452,0.38872
2401,686,1531,59,0.550478,0.377628
2501,655,1459,55,0.55305,0.362248
2601,678,1509,55,0.533711,0.361856
2701,703,1541,60,0.564184,0.396621
2801,686,1539,61,0.534683,0.366793
2901,661,1575,58,0.556064,0.367558
3001,685,1503,59,0.561285,0.384481
3101,708,1439,59,0.585162,0.414295
3201,645,1448,59,0.613874,0.395949
3301,688,1557,59,0.558303,0.384113
3401,679,1521,58,0.57241,0.388666
3501,668,1490,61,0.552802,0.369272
3601,661,1459,69,0.574917,0.38002
3701,670,1540,60,0.550607,0.368907
3801,675,1498,66,0.566886,0.382648
3901,672,1529,67,0.539521,0.362558
4001,649,1529,70,0.572113,0.371301
4101,655,1547,74,0.52877,0.346344
4201,698,1558,73,0.556052,0.388125
4301,663,1545,62,0.540986,0.358674
4401,694,1489,75,0.504154,0.349883
4501,647,1452,56,0.579222,0.374757
4601,651,1514,73,0.560367,0.364799
4701,658,1521,67,0.544147,0.358049
4801,666,1561,67,0.556233,0.370451
4901,676,1636,73,0.5463,0.369299
5001,698,1559,81,0.563939,0.393629
5101,648,1552,75,0.562739,0.364655
5201,711,1568,69,0.566273,0.40262
5301,679,1505,68,0.554502,0.376507
5401,615,1476,76,0.556911,0.3425
5501,703,1636,65,0.572203,0.402259
5601,644,1515,68,0.550077,0.35425
5701,718,1653,75,0.565936,0.406342
5801,668,1590,89,0.55362,0.369818
5901,690,1544,67,0.543308,0.374883
6001,677,1516,70,0.555832,0.376298
6101,673,1533,73,0.55543,0.373805
6201,678,1520,72,0.531262,0.360196
6301,690,1523,70,0.55904,0.385738
6401,680,1510,84,0.545555,0.370978
6501,674,1521,87,0.539503,0.363625
6601,675,1516,92,0.552442,0.372898
6701,718,1551,88,0.533868,0.383317
6801,669,1541,73,0.570614,0.381741
6901,683,1531,83,0.558537,0.381481
7001,688,1574,81,0.584265,0.401974
7101,679,1568,74,0.567204,0.385131
7201,696,1530,91,0.559106,0.389138
7301,668,1454,87,0.539708,0.360525
7401,689,1557,75,0.568157,0.39146
7501,691,1550,77,0.550208,0.380194
7601,702,1521,82,0.581301,0.408073
7701,692,1553,88,0.567659,0.39282
7801,669,1556,92,0.594272,0.397568
7901,688,1549,97,0.571033,0.392871
8001,678,1560,87,0.555341,0.376521
8101,660,1592,83,0.5427,0.358182
8201,660,1569,91,0.560854,0.370163
8301,676,1607,81,0.5412,0.365851
8401,668,1471,84,0.577571,0.385817
8501,706,1603,83,0.550048,0.388334
8601,664,1550,87,0.554913,0.368462
8701,700,1571,84,0.570225,0.399157
8801,709,1591,84,0.551396,0.39094
8901,700,1599,92,0.525071,0.36755
9001,710,1602,95,0.545243,0.387123
9101,676,1569,89,0.565447,0.382242
9201,668,1490,92,0.565285,0.377611
9301,708,1573,81,0.55333,0.391757
9401,660,1518,90,0.547713,0.361491
9501,698,1592,89,0.534272,0.372922
9601,681,1564,95,0.543669,0.370238
9701,690,1620,95,0.545948,0.376704
9801,680,1559,102,0.562869,0.382751
9901,687,1559,100,0.54863,0.376909
10001,683,1676,90,0.540976,0.369487
10101,675,1594,111,0.538633,0.363577
10201,699,1672,102,0.551035,0.385174
10301,716,1609,92,0.555271,0.397574
10401,684,1530,90,0.548278,0.375022
10501,690,1595,99,0.54863,0.378554
10601,695,1582,97,0.557262,0.387297
10701,692,1645,100,0.573359,0.396765
10801,694,1540,102,0.551308,0.382608
10901,711,1588,104,0.549109,0.390417
11001,687,1594,103,0.550994,0.378533
11101,728,1633,115,0.543279,0.395507
11201,706,1634,103,0.537128,0.379212
11301,690,1598,101,0.544753,0.37588
11401,706,1610,107,0.592941,0.418616
11501,724,1630,102,0.562216,0.407044
11601,738,1519,105,0.606068,0.447278
11701,736,1671,105,0.551953,0.406237
11801,705,1624,106,0.548737,0.38686
11901,704,1621,112,0.570446,0.401594
12001,691,1627,109,0.575139,0.397421
12101,711,1578,104,0.566623,0.402869
12201,714,1652,105,0.572801,0.40898
12301,716,1715,102,0.563624,0.403554
12401,708,1629,108,0.554191,0.392367
12501,720,1627,98,0.56879,0.409529
12601,718,1631,99,0.564793,0.405521
12701,734,1641,95,0.587904,0.431522
12801,716,1685,97,0.574255,0.411167
12901,679,1604,103,0.544141,0.369472
13001,708,1719,107,0.560861,0.39709
13101,727,1639,111,0.56021,0.407273
13201,728,1656,119,0.548379,0.39922
13301,713,1627,116,0.534993,0.38145
13401,674,1618,112,0.555501,0.374407
13501,696,1642,119,0.565256,0.393418
13601,708,1667,113,0.551883,0.390733
13701,702,1706,111,0.560764,0.393657
13801,727,1650,116,0.568616,0.413384
13901,715,1777,122,0.556216,0.397695
14001,685,1704,132,0.520091,0.356262
14101,704,1679,117,0.552893,0.389237
14201,652,1602,137,0.563892,0.367658
14301,733,1678,123,0.555078,0.406872
14401,725,1689,119,0.555962,0.403072
14501,702,1593,121,0.569326,0.399667
14601,725,1706,120,0.563243,0.408351
14701,716,1650,112,0.563229,0.403272
14801,712,1614,123,0.574694,0.409182
14901,731,1661,132,0.558373,0.408171
15001,707,1677,127,0.571729,0.404212
15101,697,1643,123,0.547697,0.381745
15201,717,1714,125,0.572763,0.410671
15301,702,1597,125,0.568036,0.398761
15401,710,1620,127,0.568499,0.403634
