cycle,Population_size,Deleterious_muts,Beneficial_muts,Mean_fitness,Intrinsic_fitness
1,1000,0,0,1.0,1.0
101,893,4334,45,0.497635,0.444388
201,856,4538,60,0.504051,0.431467
301,776,4559,54,0.488816,0.379321
401,740,4424,62,0.515978,0.381824
501,740,4751,60,0.47249,0.349643
601,761,4556,44,0.498019,0.378992
701,709,4644,67,0.50334,0.356868
801,659,4687,78,0.488399,0.321855
901,714,4799,63,0.499389,0.356564
1001,692,4548,52,0.516057,0.357111
1101,670,4720,53,0.495041,0.331678
1201,658,4788,60,0.496134,0.326456
1301,654,4566,62,0.498441,0.32598
1401,620,4506,56,0.509244,0.315731
1501,682,4683,58,0.500488,0.341333
1601,670,4675,69,0.48278,0.323463
1701,642,4565,61,0.509225,0.326923
1801,660,4660,69,0.518573,0.342258
1901,640,4764,52,0.492386,0.315127
2001,676,4612,62,0.50212,0.339433
2101,647,4568,67,0.530675,0.343347
2201,669,4656,55,0.491582,0.328869
2301,671,4771,59,0.50756,0.340572
2401,662,4800,79,0.502501,0.332655
2501,654,4773,73,0.500917,0.3276
2601,641,4648,72,0.482031,0.308982
2701,697,4919,71,0.500068,0.348547
2801,661,4753,64,0.505841,0.334361
2901,688,4822,71,0.481777,0.331462
3001,645,4785,82,0.526596,0.339655
3101,678,4723,70,0.498526,0.338
3201,643,4682,74,0.504943,0.324679
3301,666,4663,78,0.512791,0.341519
3401,667,4715,79,0.485509,0.323834
3501,640,4589,78,0.509478,0.326066
3601,686,4748,76,0.5148,0.353153
3701,658,4697,76,0.515878,0.339448
3801,618,4617,78,0.507082,0.313377
3901,639,4773,90,0.498898,0.318796
4001,654,4852,88,0.494797,0.323598
4101,650,4737,90,0.507624,0.329955
4201,640,4849,90,0.492191,0.315002
4301,647,4653,86,0.534639,0.345912
4401,625,4757,92,0.500891,0.313057
4501,656,4750,81,0.488368,0.320369
4601,618,4741,73,0.514431,0.317918
4701,667,4738,83,0.519196,0.346304
4801,639,4682,86,0.468315,0.299253
4901,620,4646,84,0.490405,0.304051
5001,635,4745,84,0.498965,0.316843
5101,627,4773,83,0.520639,0.326441
5201,632,4688,83,0.484462,0.30618
5301,629,4631,81,0.517899,0.325759
5401,647,4745,72,0.493391,0.319224
5501,660,4747,86,0.506295,0.334155
5601,653,4801,78,0.508167,0.331833
5701,625,4763,77,0.508885,0.318053
5801,601,4720,83,0.491311,0.295278
5901,586,4725,76,0.481912,0.2824
6001,604,4665,82,0.495962,0.299561
6101,640,4672,79,0.491639,0.314649
6201,627,4715,92,0.501864,0.314669
6301,608,4540,69,0.50107,0.30465
6401,593,4575,76,0.499339,0.296108
6501,639,4635,66,0.500886,0.320066
6601,616,4684,69,0.49851,0.307082
6701,610,4578,82,0.514227,0.313679
6801,623,4617,91,0.505109,0.314683
6901,584,4377,88,0.485392,0.283469
7001,608,4680,85,0.479631,0.291616
7101,583,4423,82,0.514639,0.300034
7201,601,4602,91,0.508559,0.305644
7301,565,4519,89,0.500424,0.28274
7401,609,4627,89,0.488863,0.297718
7501,600,4680,88,0.484192,0.290515
7601,594,4568,81,0.523384,0.31089
7701,597,4717,84,0.498793,0.297779
7801,614,4705,99,0.495017,0.30394
7901,574,4617,86,0.514031,0.295054
8001,586,4739,90,0.505849,0.296428
8101,581,4617,87,0.513831,0.298536
8201,577,4520,80,0.527183,0.304185
8301,577,4629,83,0.513518,0.2963
8401,589,4463,87,0.504979,0.297432
8501,588,4478,94,0.489407,0.287771
8601,599,4521,93,0.516931,0.309642
8701,574,4552,89,0.49846,0.286116
8801,576,4585,87,0.505171,0.290978
8901,556,4611,96,0.485009,0.269665
9001,561,4621,93,0.513054,0.287823
9101,561,4480,97,0.485809,0.272539
9201,536,4387,96,0.481757,0.258222
9301,534,4403,95,0.519421,0.277371
9401,549,4457,88,0.520579,0.285798
9501,543,4416,91,0.486039,0.263919
9601,537,4487,79,0.494015,0.265286
9701,537,4407,83,0.504166,0.270737
9801,575,4544,77,0.515292,0.296293
9901,575,4544,97,0.467329,0.268714
10001,553,4297,89,0.508297,0.281088
10101,575,4437,94,0.485534,0.279182
10201,569,4495,103,0.495425,0.281897
10301,553,4498,92,0.510609,0.282367
10401,548,4380,92,0.505377,0.276946
10501,526,4364,102,0.499287,0.262625
10601,526,4524,94,0.499607,0.262793
10701,542,4396,91,0.467078,0.253157
10801,557,4442,95,0.51587,0.28734
10901,557,4537,95,0.506914,0.282351
11001,545,4430,90,0.494066,0.269266
11101,538,4473,92,0.492215,0.264812
11201,517,4436,94,0.473219,0.244654
11301,541,4483,89,0.506439,0.273984
11401,549,4526,95,0.499471,0.27421
11501,571,4577,112,0.495153,0.282732
11601,550,4432,97,0.473331,0.260332
11701,570,4426,96,0.521093,0.297023
11801,522,4524,103,0.499098,0.260529
11901,535,4426,98,0.533694,0.285526
12001,547,4508,104,0.502534,0.274886
12101,524,4445,106,0.494778,0.259264
12201,522,4516,100,0.472752,0.246777
12301,535,4393,109,0.520013,0.278207
12401,566,4463,101,0.515546,0.291799
12501,567,4463,91,0.487833,0.276602
12601,551,4637,107,0.46254,0.25486
12701,546,4492,103,0.50155,0.273846
12801,534,4544,101,0.475716,0.254032
12901,539,4614,98,0.496743,0.267744
13001,532,4630,106,0.489931,0.260643
13101,516,4495,96,0.507997,0.262126
13201,512,4439,95,0.470215,0.24075
13301,485,4479,104,0.527258,0.25572
13401,513,4483,96,0.495189,0.254032
13501,507,4519,98,0.508682,0.257902
13601,491,4409,97,0.506748,0.248813
13701,489,4410,92,0.498992,0.244007
13801,489,4389,99,0.500795,0.244889
13901,502,4435,93,0.478651,0.240283
14001,508,4382,100,0.495316,0.25162
14101,509,4315,100,0.509571,0.259371
14201,507,4446,99,0.513968,0.260582
14301,531,4387,92,0.494181,0.26241
14401,515,4333,103,0.526567,0.271182
14501,488,4359,106,0.465445,0.227137
14601,494,4322,107,0.49483,0.244446
14701,534,4406,108,0.505829,0.270113
14801,477,4333,111,0.484907,0.231301
14901,517,4356,99,0.48726,0.251914
15001,486,4317,102,0.481991,0.234248
15101,490,4285,108,0.505795,0.247839
15201,502,4290,95,0.502777,0.252394
15301,472,4256,106,0.514799,0.242985
15401,481,4292,105,0.519094,0.249684
15501,487,4388,106,0.480415,0.233962
15601,492,4428,117,0.480962,0.236633
15701,476,4497,113,0.504253,0.240025
15801,473,4251,105,0.470911,0.222741
