cycle,Population_size,Deleterious_muts,Beneficial_muts,Mean_fitness,Intrinsic_fitness
1,1000,0,0,1.0,1.0
101,699,2356,41,0.520862,0.364083
201,680,2481,37,0.522392,0.355227
301,685,2564,52,0.517829,0.354713
401,671,2583,38,0.519141,0.348344
501,686,2569,51,0.510692,0.350335
601,674,2544,36,0.516341,0.348014
701,707,2680,47,0.504649,0.356787
801,666,2632,47,0.513577,0.342042
901,654,2619,49,0.506634,0.331339
1001,684,2641,43,0.49104,0.335871
1101,634,2547,48,0.516888,0.327707
1201,672,2630,53,0.541742,0.364051
1301,649,2610,51,0.507465,0.329345
1401,651,2601,51,0.515191,0.335389
1501,643,2617,57,0.485356,0.312084
1601,635,2627,49,0.503379,0.319646
1701,681,2681,51,0.482196,0.328376
1801,681,2702,54,0.514304,0.350241
1901,658,2588,50,0.529466,0.348389
2001,638,2683,54,0.483485,0.308463
2101,642,2672,58,0.515686,0.33107
2201,625,2587,56,0.516031,0.322519
2301,628,2650,73,0.508281,0.3192
2401,647,2639,56,0.492603,0.318714
2501,647,2716,75,0.509967,0.329949
2601,648,2751,67,0.492991,0.319458
2701,642,2722,71,0.522145,0.335217
2801,648,2749,74,0.500376,0.324244
2901,622,2640,65,0.493708,0.307086
3001,663,2657,62,0.527856,0.349968
3101,649,2678,57,0.523186,0.339547
3201,614,2649,66,0.51038,0.313373
3301,613,2578,64,0.529588,0.324638
3401,627,2689,73,0.504389,0.316252
3501,643,2665,71,0.53162,0.341831
3601,647,2621,79,0.529911,0.342853
3701,645,2653,59,0.520645,0.335816
3801,669,2752,66,0.495119,0.331234
3901,633,2621,76,0.524625,0.332088
4001,625,2683,76,0.511243,0.319527
4101,628,2600,76,0.53081,0.333348
4201,627,2603,74,0.50909,0.319199
4301,612,2721,77,0.538209,0.329384
4401,654,2761,79,0.506026,0.330941
4501,650,2614,72,0.528362,0.343435
4601,619,2522,71,0.558767,0.345877
4701,643,2665,73,0.529838,0.340686
4801,656,2653,62,0.512917,0.336474
4901,628,2725,65,0.518173,0.325412
5001,627,2601,70,0.511415,0.320657
5101,682,2734,69,0.495383,0.337851
5201,614,2771,68,0.503965,0.309434
5301,631,2722,70,0.48902,0.308571
5401,639,2690,66,0.502565,0.321139
5501,668,2754,87,0.507966,0.339321
5601,635,2788,75,0.533793,0.338958
5701,640,2738,80,0.502117,0.321355
5801,642,2665,77,0.54043,0.346956
5901,631,2693,84,0.496798,0.313479
6001,658,2796,81,0.493686,0.324845
6101,624,2698,73,0.510561,0.31859
6201,642,2775,77,0.501624,0.322042
6301,637,2741,81,0.500337,0.318715
6401,644,2764,74,0.514013,0.331025
6501,624,2792,77,0.506262,0.315908
6601,642,2758,74,0.525181,0.337166
6701,619,2760,78,0.499198,0.309003
6801,617,2684,93,0.515324,0.317955
6901,629,2630,74,0.485572,0.305425
7001,593,2714,87,0.535831,0.317748
7101,615,2644,93,0.506562,0.311536
7201,642,2647,88,0.524204,0.336539
7301,603,2596,98,0.528799,0.318866
7401,633,2649,103,0.507051,0.320963
7501,592,2698,93,0.500253,0.29615
7601,599,2698,96,0.503428,0.301553
7701,612,2744,98,0.514812,0.315065
7801,626,2721,103,0.508267,0.318175
7901,609,2806,102,0.48846,0.297472
8001,648,2644,107,0.542648,0.351636
8101,635,2755,98,0.512594,0.325497
8201,672,2766,95,0.512231,0.344219
8301,640,2801,104,0.494619,0.316556
8401,640,2827,95,0.516206,0.330372
8501,634,2695,89,0.525946,0.33345
8601,645,2719,98,0.528033,0.340582
8701,617,2674,85,0.527917,0.325725
8801,641,2659,94,0.505017,0.323716
8901,608,2743,106,0.515218,0.313253
9001,585,2723,95,0.512419,0.299765
