cycle,Population_size,Deleterious_muts,Beneficial_muts,Mean_fitness,Intrinsic_fitness
1,1000,0,0,1.0,1.0
101,712,2498,41,0.495368,0.352702
201,706,2279,37,0.51515,0.363696
301,687,2466,44,0.51936,0.3568
401,700,2617,39,0.485354,0.339748
501,689,2635,40,0.512589,0.353174
601,670,2630,48,0.518978,0.347716
701,676,2608,60,0.496783,0.335825
801,677,2598,52,0.5217,0.353191
901,678,2674,52,0.48891,0.331481
1001,623,2563,48,0.517426,0.322357
1101,642,2619,50,0.519258,0.333364
1201,644,2594,50,0.479438,0.308758
1301,634,2680,53,0.516018,0.327156
1401,682,2717,58,0.502575,0.342756
1501,684,2612,66,0.526758,0.360302
1601,667,2746,51,0.493757,0.329336
1701,624,2601,56,0.508416,0.317252
1801,648,2739,54,0.488847,0.316773
1901,677,2603,47,0.509498,0.34493
2001,627,2594,57,0.487481,0.30565
2101,592,2640,52,0.498067,0.294855
2201,597,2633,51,0.510206,0.304593
2301,630,2680,62,0.511029,0.321948
2401,629,2712,63,0.491398,0.309089
2501,626,2682,68,0.518284,0.324446
2601,641,2699,80,0.508488,0.325941
2701,667,2756,61,0.519725,0.346656
2801,647,2702,58,0.518669,0.335579
2901,624,2712,65,0.522246,0.325882
3001,628,2645,73,0.530851,0.333374
3101,656,2730,72,0.513207,0.336664
3201,641,2654,62,0.513017,0.328844
3301,641,2730,69,0.516764,0.331246
3401,624,2755,69,0.486295,0.303448
3501,636,2608,75,0.536819,0.341417
3601,682,2741,78,0.500105,0.341072
3701,637,2674,69,0.523823,0.333675
3801,661,2595,68,0.527876,0.348926
3901,611,2764,60,0.481887,0.294433
4001,624,2652,63,0.501847,0.313153
4101,648,2653,69,0.518259,0.335832
4201,656,2730,65,0.495171,0.324832
4301,602,2608,70,0.516978,0.311221
4401,684,2684,76,0.525821,0.359662
4501,621,2658,79,0.517725,0.321508
4601,619,2642,67,0.523677,0.324156
4701,630,2678,89,0.541779,0.341321
4801,646,2650,73,0.512464,0.331051
4901,627,2674,78,0.50212,0.314829
5001,611,2727,76,0.491088,0.300055
5101,643,2639,85,0.518961,0.333692
5201,646,2669,89,0.540897,0.349419
5301,624,2648,76,0.52062,0.324867
5401,643,2676,80,0.540364,0.347454
5501,643,2665,96,0.522693,0.336092
5601,648,2803,83,0.518228,0.335812
5701,663,2752,81,0.51511,0.341518
5801,638,2777,76,0.50611,0.322898
5901,636,2729,80,0.527574,0.335537
6001,642,2636,82,0.500291,0.321187
6101,640,2623,79,0.541078,0.34629
6201,608,2753,86,0.508224,0.309
6301,586,2651,83,0.522357,0.306101
6401,625,2656,82,0.506132,0.316333
6501,622,2666,85,0.519793,0.323311
6601,607,2651,75,0.538338,0.326771
6701,633,2691,80,0.546402,0.345873
6801,618,2632,81,0.5343,0.330197
6901,654,2701,87,0.518934,0.339383
7001,636,2661,86,0.506068,0.321859
7101,628,2703,75,0.523344,0.32866
7201,615,2755,80,0.518214,0.318701
7301,625,2745,82,0.512481,0.320301
7401,600,2694,74,0.518273,0.310964
7501,628,2658,82,0.514823,0.323309
7601,655,2775,85,0.492574,0.322636
7701,627,2612,85,0.530784,0.332802
7801,610,2744,79,0.494246,0.30149
7901,655,2853,86,0.493219,0.323059
8001,622,2755,83,0.500534,0.311332
8101,648,2643,77,0.544453,0.352805
8201,618,2712,87,0.51311,0.317102
8301,624,2712,94,0.503404,0.314124
8401,641,2742,100,0.526927,0.33776
8501,660,2818,90,0.498902,0.329276
8601,614,2773,83,0.503335,0.309047
8701,629,2721,98,0.502165,0.315862
8801,664,2799,88,0.525046,0.348631
8901,634,2663,96,0.509423,0.322974
9001,628,2635,96,0.502173,0.315365
9101,635,2662,93,0.536695,0.340801
9201,636,2739,101,0.498151,0.316824
9301,641,2806,101,0.497878,0.31914
9401,629,2809,100,0.513274,0.322849
9501,656,2752,90,0.532851,0.34955
9601,631,2739,105,0.50211,0.316832
9701,635,2759,95,0.517881,0.328854
9801,668,2774,94,0.502506,0.335674
9901,628,2724,99,0.494966,0.310838
10001,636,2643,105,0.500978,0.318622
10101,654,2782,90,0.507988,0.332224
10201,613,2657,93,0.526467,0.322724
10301,630,2695,92,0.509625,0.321064
10401,613,2736,95,0.525337,0.322032
10501,621,2652,110,0.503218,0.312499
10601,599,2673,95,0.520378,0.311706
10701,616,2786,99,0.541434,0.333523
10801,601,2779,98,0.51849,0.311612
10901,608,2756,96,0.508731,0.309309
11001,617,2733,92,0.513119,0.316594
11101,597,2819,114,0.485085,0.289596
11201,603,2761,107,0.518271,0.312518
