cycle,Population_size,Deleterious_muts,Beneficial_muts,Mean_fitness,Intrinsic_fitness
1,1000,0,0,1.0,1.0
101,789,2730,42,0.483594,0.381556
201,730,2949,39,0.49823,0.363708
301,714,3000,51,0.489367,0.349408
401,717,3010,58,0.516966,0.370664
501,734,3187,52,0.492691,0.361635
601,731,3179,49,0.497651,0.363783
701,699,3124,51,0.501292,0.350403
801,710,3145,45,0.515899,0.366288
901,697,3052,35,0.526899,0.367249
1001,690,3089,43,0.511305,0.3528
1101,702,3154,51,0.535711,0.376069
1201,672,3043,54,0.517692,0.347889
1301,702,3064,38,0.524648,0.368303
1401,670,3165,43,0.518436,0.347352
1501,667,3104,56,0.512064,0.341546
1601,665,3143,57,0.503917,0.335105
1701,677,3257,49,0.52945,0.358438
1801,663,3228,52,0.509449,0.337765
1901,699,3241,59,0.52255,0.365262
2001,661,3333,53,0.497537,0.328872
2101,675,3269,54,0.507993,0.342895
2201,656,3301,47,0.512971,0.336509
2301,690,3250,57,0.474918,0.327694
2401,669,3404,56,0.508755,0.340357
2501,682,3416,61,0.503763,0.343567
2601,682,3355,64,0.48116,0.328151
2701,652,3197,62,0.501909,0.327245
2801,663,3321,55,0.517306,0.342974
2901,661,3355,68,0.490255,0.324059
3001,660,3415,75,0.547691,0.361476
3101,686,3334,64,0.519668,0.356492
3201,647,3361,68,0.516177,0.333966
3301,639,3374,68,0.524512,0.335163
3401,700,3342,76,0.512162,0.358514
3501,678,3381,73,0.527358,0.357549
3601,694,3329,81,0.487711,0.338471
3701,703,3402,67,0.526519,0.370143
3801,686,3429,70,0.521703,0.357888
3901,670,3335,71,0.533517,0.357457
4001,708,3327,85,0.512149,0.362602
4101,699,3431,81,0.501094,0.350265
4201,676,3429,75,0.514354,0.347704
4301,689,3417,66,0.517741,0.356724
4401,697,3463,65,0.489222,0.340988
4501,694,3356,72,0.512757,0.355853
4601,675,3342,65,0.484934,0.32733
4701,675,3336,67,0.525712,0.354855
4801,673,3401,70,0.503536,0.33888
4901,652,3343,65,0.497263,0.324216
5001,672,3336,79,0.523456,0.351763
5101,678,3344,72,0.513208,0.347955
5201,691,3394,79,0.535383,0.36995
5301,684,3326,73,0.513465,0.35121
5401,680,3353,79,0.5228,0.355504
5501,715,3506,69,0.482951,0.34531
5601,682,3397,63,0.539416,0.367882
5701,674,3449,76,0.499303,0.33653
5801,673,3502,76,0.493361,0.332032
5901,679,3492,66,0.516928,0.350994
6001,626,3508,70,0.505442,0.316407
6101,667,3431,64,0.513906,0.342775
6201,670,3529,84,0.520791,0.34893
6301,701,3538,80,0.50636,0.354958
6401,661,3558,82,0.481837,0.318494
6501,664,3573,72,0.484372,0.321623
6601,674,3642,75,0.507499,0.342054
6701,642,3432,85,0.535633,0.343876
6801,661,3462,93,0.532177,0.351769
6901,664,3459,92,0.497222,0.330155
7001,652,3568,73,0.501675,0.327092
7101,665,3421,90,0.540739,0.359592
7201,677,3481,86,0.515479,0.348979
7301,685,3386,89,0.504246,0.345409
7401,669,3442,83,0.521263,0.348725
7501,670,3506,86,0.516736,0.346213
7601,674,3428,89,0.536315,0.361476
7701,685,3567,82,0.521042,0.356913
7801,641,3513,81,0.514882,0.330039
7901,646,3440,92,0.520781,0.336425
8001,650,3471,90,0.539558,0.350713
8101,647,3446,89,0.524094,0.339089
8201,697,3580,106,0.537306,0.374503
8301,650,3611,82,0.530866,0.345063
8401,625,3523,98,0.515349,0.322093
8501,670,3463,88,0.514248,0.344546
8601,652,3573,85,0.504364,0.328845
8701,622,3486,90,0.526719,0.327619
8801,664,3559,94,0.507274,0.33683
8901,663,3531,93,0.512358,0.339693
9001,629,3442,93,0.520037,0.327104
9101,661,3451,102,0.520645,0.344147
9201,658,3588,101,0.48551,0.319466
9301,688,3486,97,0.515625,0.35475
9401,645,3545,101,0.507036,0.327038
9501,689,3672,101,0.506819,0.349198
9601,667,3553,107,0.498023,0.332181
9701,683,3553,108,0.518442,0.354096
9801,653,3477,97,0.50458,0.329491
