cycle,Population_size,Deleterious_muts,Beneficial_muts,Mean_fitness,Intrinsic_fitness
1,1000,0,0,1.0,1.0
101,915,4264,48,0.470379,0.430396
201,901,4863,47,0.505353,0.455323
301,841,4988,70,0.498344,0.419107
401,860,5272,61,0.481134,0.413775
501,804,5322,61,0.510881,0.410748
601,844,5365,60,0.516415,0.435854
701,840,5437,74,0.494289,0.415203
801,781,5658,88,0.508947,0.397488
901,836,5717,77,0.490832,0.410335
1001,809,5691,69,0.509262,0.411993
1101,777,5647,60,0.523775,0.406973
1201,803,5775,81,0.53991,0.433548
1301,814,5886,90,0.495735,0.403528
1401,805,6005,80,0.515832,0.415245
1501,802,5960,71,0.528374,0.423756
1601,815,6142,78,0.504521,0.411185
1701,763,6088,75,0.484682,0.369812
1801,808,6053,74,0.493546,0.398785
1901,779,6070,69,0.503904,0.392541
2001,766,6144,78,0.52831,0.404685
2101,791,5942,74,0.531166,0.420152
2201,788,6155,80,0.485851,0.38285
2301,730,6038,71,0.516138,0.376781
2401,776,6109,78,0.489364,0.379746
2501,786,6147,77,0.500728,0.393572
2601,798,6105,73,0.508085,0.405452
2701,734,6201,86,0.486303,0.356947
2801,746,6112,93,0.501299,0.373969
2901,740,6115,83,0.492089,0.364146
3001,740,6170,86,0.480922,0.355882
3101,791,6236,91,0.516491,0.408544
3201,761,6203,78,0.492409,0.374723
3301,804,6317,80,0.524676,0.421839
3401,752,6267,82,0.488587,0.367417
3501,759,6239,84,0.526848,0.399878
3601,778,6260,83,0.494974,0.38509
3701,756,6353,77,0.487914,0.368863
3801,733,6213,71,0.542387,0.39757
3901,764,6372,80,0.529814,0.404778
4001,726,6167,82,0.499802,0.362857
4101,730,6264,81,0.51472,0.375746
4201,738,6159,91,0.490451,0.361953
4301,776,6414,86,0.500491,0.388381
4401,731,6228,78,0.498123,0.364128
4501,746,6306,86,0.501767,0.374318
4601,746,6192,89,0.516864,0.385581
4701,712,6385,79,0.495973,0.353132
4801,739,6489,80,0.502258,0.371168
4901,721,6479,87,0.470932,0.339542
5001,715,6396,79,0.474169,0.339031
5101,750,6540,92,0.491529,0.368647
5201,697,6327,90,0.50649,0.353024
5301,724,6505,99,0.485955,0.351832
5401,680,6317,92,0.498185,0.338766
5501,757,6363,101,0.498325,0.377232
5601,738,6511,114,0.48651,0.359045
5701,720,6244,108,0.520707,0.374909
5801,701,6400,96,0.510535,0.357885
5901,725,6428,97,0.526133,0.381446
6001,748,6441,106,0.507744,0.379793
6101,693,6157,102,0.486774,0.337334
6201,752,6396,102,0.514969,0.387256
6301,716,6365,102,0.48637,0.348241
6401,704,6427,110,0.487375,0.343112
6501,740,6531,101,0.504945,0.373659
6601,733,6665,104,0.496093,0.363637
