cycle,Population_size,Deleterious_muts,Beneficial_muts,Mean_fitness,Intrinsic_fitness
1,1000,0,0,1.0,1.0
101,835,3417,43,0.498167,0.41597
201,768,3638,52,0.488816,0.375411
301,736,3772,48,0.498403,0.366825
401,774,3848,48,0.508308,0.393431
501,772,3762,59,0.509253,0.393143
601,770,4049,71,0.515286,0.39677
701,737,4002,55,0.498801,0.367616
801,722,4025,60,0.515068,0.371879
901,728,4194,63,0.488286,0.355472
1001,718,4081,79,0.524558,0.376632
1101,698,4159,81,0.489673,0.341792
1201,722,4113,65,0.486987,0.351605
1301,674,4139,63,0.506775,0.341566
1401,751,4161,67,0.513309,0.385495
1501,745,4219,72,0.48853,0.363955
1601,718,4127,65,0.510528,0.366559
1701,710,4272,85,0.48463,0.344087
1801,715,4255,74,0.497487,0.355703
1901,701,4121,65,0.499507,0.350154
2001,695,4131,74,0.511661,0.355605
2101,670,4147,71,0.49997,0.33498
2201,685,4178,69,0.502249,0.34404
2301,730,4237,75,0.528859,0.386067
2401,676,4106,78,0.517295,0.349691
2501,661,4120,68,0.511652,0.338202
2601,690,4169,65,0.485204,0.334791
2701,696,4178,70,0.512799,0.356908
2801,697,4260,79,0.485128,0.338134
2901,678,4170,75,0.511761,0.346974
3001,747,4424,75,0.51023,0.381142
3101,694,4273,72,0.505387,0.350738
3201,710,4407,82,0.492235,0.349487
3301,741,4387,65,0.525158,0.389142
3401,706,4320,81,0.502471,0.354744
3501,722,4438,85,0.531405,0.383675
3601,700,4488,75,0.524604,0.367223
3701,699,4367,95,0.507555,0.354781
3801,646,4244,85,0.519517,0.335608
3901,673,4206,84,0.524073,0.352701
4001,723,4313,98,0.516573,0.373482
4101,702,4537,82,0.502695,0.352892
4201,706,4391,76,0.524249,0.37012
4301,677,4361,87,0.509845,0.345165
4401,693,4473,80,0.495349,0.343277
4501,687,4432,97,0.525345,0.360912
4601,712,4441,90,0.512859,0.365156
4701,721,4450,89,0.49508,0.356953
4801,715,4516,79,0.497287,0.35556
4901,684,4567,91,0.499292,0.341516
5001,683,4485,87,0.513368,0.35063
5101,679,4542,77,0.47254,0.320855
5201,672,4354,86,0.531141,0.356927
5301,640,4343,93,0.491466,0.314538
5401,680,4569,87,0.50858,0.345834
5501,689,4471,97,0.533066,0.367282
5601,661,4422,93,0.485167,0.320696
5701,680,4447,95,0.519028,0.352939
5801,651,4408,106,0.520794,0.339037
5901,676,4409,100,0.518229,0.350323
6001,719,4390,94,0.504976,0.363078
6101,667,4436,98,0.505519,0.337181
6201,687,4535,106,0.494263,0.339559
6301,662,4392,96,0.524657,0.347323
6401,674,4465,92,0.483306,0.325748
6501,666,4363,89,0.49882,0.332214
6601,666,4427,90,0.502634,0.334754
6701,657,4438,91,0.487675,0.320402
6801,693,4571,96,0.516858,0.358183
6901,643,4453,96,0.502921,0.323378
7001,637,4391,91,0.508183,0.323713
7101,637,4410,99,0.505802,0.322196
7201,664,4406,82,0.509321,0.338189
7301,650,4417,90,0.514671,0.334536
7401,675,4524,79,0.510072,0.344298
7501,667,4529,85,0.512052,0.341539
7601,690,4548,83,0.494105,0.340932
7701,628,4373,89,0.514447,0.323073
7801,637,4323,103,0.506047,0.322352
7901,686,4480,91,0.498504,0.341974
8001,683,4569,90,0.49634,0.339
8101,695,4618,101,0.487805,0.339025
8201,675,4560,83,0.493235,0.332934
8301,663,4529,97,0.512965,0.340096
8401,673,4552,105,0.518834,0.349175
8501,634,4528,100,0.512711,0.325059
8601,660,4680,96,0.469417,0.309815
8701,649,4572,99,0.511736,0.332116
8801,621,4631,90,0.512805,0.318452
8901,680,4547,101,0.525883,0.3576
9001,670,4534,85,0.529059,0.35447
9101,665,4567,96,0.497672,0.330952
9201,702,4569,99,0.50447,0.354138
9301,678,4626,93,0.5229,0.354526
9401,647,4592,91,0.490999,0.317676
9501,642,4610,91,0.496208,0.318565
9601,656,4540,93,0.511867,0.335785
9701,652,4570,101,0.531851,0.346767
9801,663,4588,102,0.496933,0.329466
9901,622,4486,109,0.498556,0.310102
10001,636,4622,101,0.508965,0.323702
10101,658,4663,97,0.511897,0.336828
10201,671,4561,101,0.536015,0.359666
10301,669,4671,105,0.504305,0.33738
10401,643,4576,111,0.514297,0.330693
10501,649,4605,111,0.530244,0.344128
10601,649,4703,113,0.488449,0.317003
10701,645,4662,106,0.526104,0.339337
10801,647,4621,102,0.500913,0.324091
10901,628,4617,92,0.505928,0.317723
11001,622,4622,105,0.512358,0.318687
11101,633,4501,111,0.524548,0.332039
11201,611,4450,124,0.497508,0.303977
11301,630,4586,101,0.503612,0.317275
11401,677,4616,109,0.4983,0.337349
11501,658,4673,104,0.527672,0.347208
11601,646,4637,115,0.525593,0.339533
11701,654,4571,120,0.486355,0.318076
11801,656,4741,125,0.507652,0.333019
11901,657,4671,117,0.511244,0.335888
12001,623,4607,115,0.511815,0.318861
12101,659,4639,111,0.492325,0.324442
12201,637,4696,129,0.49518,0.31543
12301,645,4627,106,0.501272,0.323321
12401,619,4661,117,0.490113,0.30338
12501,640,4584,130,0.518251,0.33168
12601,646,4679,118,0.51747,0.334286
12701,626,4677,119,0.521197,0.326269
12801,568,4579,118,0.465567,0.264442
12901,637,4617,113,0.500616,0.318892
13001,628,4662,106,0.465533,0.292354
13101,636,4527,107,0.52308,0.332679
13201,643,4647,104,0.504907,0.324655
13301,636,4607,110,0.505853,0.321722
13401,605,4703,109,0.511029,0.309172
13501,610,4657,102,0.539697,0.329215
13601,619,4678,99,0.500297,0.309684
13701,647,4823,114,0.509558,0.329684
13801,657,4698,111,0.52563,0.345339
13901,652,4584,133,0.489811,0.319357
14001,625,4679,126,0.504685,0.315428
14101,632,4573,112,0.508615,0.321445
14201,643,4693,113,0.503372,0.323668
14301,634,4660,118,0.506322,0.321008
14401,605,4746,111,0.527023,0.318849
14501,631,4747,115,0.520087,0.328175
14601,658,4821,127,0.508343,0.334489
14701,636,4761,124,0.497305,0.316286
14801,655,4863,118,0.533945,0.349734
14901,648,4765,113,0.518191,0.335788
15001,623,4760,111,0.53317,0.332165
15101,625,4648,130,0.508546,0.317842
15201,612,4762,120,0.493926,0.302283
15301,609,4756,125,0.496097,0.302123
15401,635,4814,115,0.492236,0.31257
15501,605,4694,120,0.522928,0.316372
15601,626,4875,120,0.487498,0.305174
15701,610,4656,123,0.522927,0.318986
15801,617,4783,128,0.524687,0.323732
15901,611,4711,129,0.484376,0.295954
16001,607,4725,132,0.504972,0.306518
16101,587,4730,129,0.51215,0.300632
16201,613,4768,122,0.513396,0.314712
16301,624,4687,135,0.501698,0.313059
16401,648,4742,108,0.520465,0.337261
16501,611,4670,115,0.548017,0.334838
16601,600,4733,115,0.494236,0.296541
16701,589,4637,129,0.509007,0.299805
16801,571,4701,133,0.507947,0.290038
16901,567,4606,135,0.539005,0.305616
17001,591,4767,132,0.509259,0.300972
17101,580,4737,129,0.497525,0.288565
17201,586,4674,143,0.472212,0.276716
17301,572,4613,128,0.517203,0.29584
17401,573,4764,146,0.509679,0.292046
17501,614,4770,139,0.499074,0.306431
17601,561,4622,137,0.50146,0.281319
17701,571,4720,133,0.510223,0.291337
17801,583,4682,133,0.525462,0.306345
17901,607,4743,125,0.509792,0.309444
18001,575,4693,131,0.502395,0.288877
18101,592,4753,119,0.522453,0.309292
18201,591,4689,127,0.473765,0.279995
18301,626,4793,132,0.490145,0.306831
18401,603,4717,142,0.509519,0.30724
18501,605,4804,138,0.4874,0.294877
18601,585,4830,139,0.510546,0.298669
18701,615,4882,138,0.518427,0.318833
18801,589,4820,144,0.500328,0.294693
18901,576,4792,146,0.496286,0.285861
19001,591,4850,143,0.494353,0.292163
19101,561,4668,145,0.488885,0.274264
19201,598,4843,138,0.504256,0.301545
19301,585,4765,136,0.512784,0.299978
19401,554,4741,138,0.492964,0.273102
19501,586,4755,144,0.527025,0.308837
19601,602,4916,134,0.512826,0.308721
19701,594,4937,148,0.479355,0.284737
19801,637,4940,139,0.483229,0.307817
19901,567,4953,153,0.509224,0.28873
20001,565,4925,158,0.488368,0.275928
20101,580,4844,144,0.508899,0.295161
20201,605,4973,145,0.50973,0.308386
20301,555,4919,152,0.51091,0.283555
20401,605,4981,157,0.504327,0.305118
20501,595,4977,155,0.503312,0.299471
20601,589,4911,154,0.522264,0.307614
20701,599,5015,147,0.517177,0.309789
20801,581,4880,149,0.506252,0.294133
20901,603,4958,152,0.502102,0.302768
21001,581,5011,149,0.507818,0.295042
21101,601,4922,161,0.530248,0.318679
21201,561,4850,151,0.500813,0.280956
21301,599,5036,166,0.484055,0.289949
21401,577,5124,146,0.508594,0.293459
21501,592,5125,145,0.47606,0.281828
21601,595,5075,148,0.51018,0.303557
21701,565,5013,146,0.514481,0.290682
21801,562,4954,149,0.505902,0.284317
21901,598,5096,156,0.494635,0.295792
22001,603,5113,159,0.53438,0.322231
22101,576,4968,158,0.488972,0.281648
22201,590,4980,154,0.510515,0.301204
22301,586,5083,148,0.502503,0.294467
22401,585,5043,148,0.518123,0.303102
22501,572,4925,153,0.505386,0.289081
22601,553,5069,150,0.50957,0.281792
22701,570,4933,152,0.523846,0.298592
22801,554,5046,156,0.485707,0.269082
22901,554,4953,148,0.523408,0.289968
23001,561,5055,159,0.522184,0.292945
23101,582,5001,152,0.509862,0.296739
23201,549,5105,160,0.478617,0.26276
23301,576,5200,153,0.499422,0.287667
23401,554,4988,161,0.516392,0.286081
23501,562,5153,153,0.484997,0.272568
23601,564,5092,159,0.532896,0.300553
23701,534,5061,160,0.506399,0.270417
23801,572,5035,172,0.504108,0.28835
23901,561,4952,170,0.518611,0.290941
24001,570,5074,164,0.498327,0.284047
24101,563,5221,162,0.512609,0.288599
24201,560,5126,160,0.532357,0.29812
24301,527,5042,177,0.505433,0.266363
24401,558,4967,165,0.544544,0.303856
24501,570,5055,167,0.508345,0.289757
24601,576,4991,173,0.514367,0.296275
24701,575,5120,163,0.515522,0.296425
24801,547,5081,178,0.508573,0.27819
24901,582,5163,164,0.492085,0.286393
25001,540,5019,165,0.538464,0.290771
25101,568,5073,166,0.538619,0.305936
25201,567,5091,182,0.50537,0.286545
25301,589,5050,184,0.511754,0.301423
25401,569,5189,176,0.513915,0.292418
25501,545,5116,172,0.492092,0.26819
25601,591,5191,171,0.495469,0.292822
25701,550,5048,168,0.504279,0.277354
25801,583,5203,167,0.481063,0.28046
25901,547,5213,164,0.508001,0.277877
26001,565,5190,175,0.50469,0.28515
26101,570,5233,165,0.513202,0.292525
26201,572,5276,163,0.503342,0.287911
26301,594,5125,175,0.521487,0.309763
26401,582,5353,176,0.508647,0.296033
26501,567,5323,170,0.509244,0.288742
26601,551,5166,173,0.508726,0.280308
26701,534,5159,177,0.526952,0.281392
26801,547,5302,176,0.490229,0.268155
26901,549,5110,176,0.499245,0.274086
27001,566,5184,178,0.493341,0.279231
27101,571,5152,185,0.513388,0.293145
27201,549,5145,184,0.528405,0.290095
27301,547,5195,181,0.513384,0.280821
27401,547,5246,175,0.486794,0.266276
27501,572,5199,185,0.538411,0.307971
27601,558,5168,181,0.523396,0.292055
27701,564,5316,187,0.501979,0.283116
27801,549,5216,190,0.474446,0.260471
27901,576,5234,187,0.511399,0.294566
28001,559,5193,187,0.519993,0.290676
28101,564,5136,192,0.525319,0.29628
28201,562,5196,192,0.504823,0.28371
28301,579,5316,196,0.488336,0.282747
28401,540,5191,197,0.488848,0.263978
28501,550,5237,205,0.508319,0.279575
28601,533,5269,189,0.507572,0.270536
28701,546,5312,197,0.516083,0.281781
28801,546,5172,199,0.544362,0.297222
28901,517,5150,196,0.50275,0.259922
29001,542,5277,197,0.512458,0.277752
29101,557,5237,189,0.493128,0.274672
29201,551,5307,193,0.510202,0.281121
29301,525,5217,183,0.505185,0.265222
29401,520,5212,184,0.501691,0.260879
29501,537,5272,196,0.492882,0.264678
29601,537,5241,191,0.51869,0.278537
29701,549,5289,189,0.508687,0.279269
29801,497,5288,196,0.500867,0.248931
29901,515,5169,192,0.544475,0.280405
30001,543,5339,196,0.507544,0.275596
30101,556,5236,204,0.521737,0.290086
30201,521,5251,200,0.493811,0.257275
30301,544,5213,205,0.541701,0.294686
30401,532,5322,207,0.483328,0.257131
30501,534,5268,203,0.51429,0.274631
30601,545,5285,193,0.508644,0.277211
30701,534,5264,197,0.4862,0.259631
30801,539,5346,206,0.498927,0.268922
30901,517,5293,199,0.484292,0.250379
31001,531,5283,208,0.502401,0.266775
