cycle,Population_size,Deleterious_muts,Beneficial_muts,Mean_fitness,Intrinsic_fitness
1,1000,0,0,1.0,1.0
101,723,1668,37,0.577259,0.417358
201,709,1795,38,0.560073,0.397091
301,727,1840,42,0.537555,0.390802
401,669,2006,38,0.549384,0.367538
501,732,1954,50,0.556909,0.407657
601,715,2037,53,0.558638,0.399426
701,690,1986,53,0.58316,0.40238
801,704,2098,62,0.521843,0.367378
901,693,1983,57,0.552312,0.382753
1001,708,2074,71,0.558065,0.39511
1101,689,2118,55,0.565224,0.389439
1201,683,2079,61,0.553921,0.378328
1301,650,2075,64,0.570792,0.371015
1401,663,1997,66,0.552248,0.366141
1501,696,2021,64,0.542589,0.377642
1601,680,2006,55,0.575192,0.391131
1701,707,2066,55,0.576268,0.407421
1801,668,2076,66,0.535564,0.357757
1901,683,2097,46,0.572336,0.390906
2001,671,2107,59,0.555515,0.37275
2101,662,2067,53,0.535854,0.354736
2201,671,2125,59,0.552771,0.37091
2301,661,2040,62,0.534804,0.353505
2401,693,2109,69,0.56849,0.393964
2501,667,2176,67,0.536008,0.357518
2601,656,2079,71,0.535962,0.351591
2701,681,2125,73,0.547338,0.372737
2801,654,2136,70,0.557602,0.364671
2901,700,2134,72,0.588264,0.411785
3001,643,2115,66,0.553434,0.355858
3101,690,2154,71,0.568929,0.392561
3201,684,2127,70,0.572753,0.391763
3301,682,2189,66,0.537842,0.366808
3401,696,2173,72,0.544262,0.378806
3501,706,2235,74,0.535753,0.378242
3601,670,2195,69,0.571367,0.382816
3701,672,2194,83,0.565928,0.380303
3801,685,2190,75,0.544689,0.373112
3901,646,2214,72,0.544269,0.351598
4001,718,2159,80,0.549002,0.394184
4101,683,2178,73,0.523239,0.357372
4201,684,2098,91,0.543038,0.371438
4301,665,2186,73,0.560772,0.372913
4401,651,2214,80,0.547948,0.356714
4501,680,2250,79,0.536116,0.364559
4601,683,2135,76,0.56915,0.38873
4701,720,2167,85,0.560333,0.40344
4801,686,2346,78,0.53823,0.369226
4901,704,2354,81,0.53183,0.374408
5001,687,2275,76,0.546976,0.375773
5101,715,2245,93,0.575761,0.411669
5201,680,2263,84,0.54987,0.373911
5301,694,2325,85,0.54653,0.379292
5401,703,2216,91,0.555931,0.39082
5501,673,2342,76,0.551496,0.371157
5601,720,2401,85,0.558105,0.401835
5701,676,2283,75,0.556503,0.376196
5801,713,2364,83,0.551912,0.393513
5901,706,2301,88,0.557904,0.39388
6001,694,2301,83,0.577563,0.400829
6101,688,2250,95,0.53508,0.368135
6201,679,2265,87,0.52682,0.357711
6301,704,2282,81,0.506414,0.356515
6401,658,2241,100,0.536102,0.352755
6501,674,2261,92,0.560564,0.37782
6601,680,2257,90,0.542551,0.368935
6701,667,2287,94,0.54466,0.363289
6801,696,2301,91,0.544955,0.379289
6901,676,2271,94,0.558047,0.37724
7001,689,2312,91,0.533025,0.367254
7101,678,2323,82,0.545532,0.36987
7201,694,2268,89,0.564193,0.39155
7301,694,2315,94,0.555412,0.385456
7401,655,2263,98,0.549547,0.359954
7501,710,2248,90,0.544743,0.386768
7601,699,2312,91,0.559595,0.391157
7701,721,2289,103,0.54854,0.395498
7801,688,2306,90,0.554427,0.381446
7901,697,2295,100,0.568174,0.396017
8001,680,2301,110,0.542165,0.368672
8101,685,2291,104,0.54449,0.372976
8201,696,2372,86,0.535395,0.372635
8301,693,2188,92,0.545554,0.378069
8401,688,2290,87,0.561981,0.386643
8501,677,2271,98,0.565703,0.382981
8601,705,2275,99,0.540831,0.381286
8701,655,2303,109,0.563718,0.369236
8801,737,2322,95,0.578329,0.426229
8901,694,2308,99,0.554844,0.385062
9001,702,2403,97,0.551743,0.387323
9101,694,2372,92,0.568818,0.39476
9201,685,2333,94,0.547868,0.37529
9301,695,2308,119,0.557323,0.387339
9401,727,2410,112,0.553736,0.402566
9501,731,2373,99,0.569679,0.416435
9601,729,2374,108,0.560668,0.408727
9701,721,2389,118,0.540863,0.389962
9801,730,2366,109,0.568698,0.415149
9901,670,2370,114,0.527534,0.353448
10001,667,2358,102,0.566163,0.377631
10101,740,2337,105,0.533307,0.394647
10201,671,2300,97,0.553973,0.371716
10301,720,2382,104,0.578302,0.416377
10401,726,2388,103,0.566464,0.411253
10501,753,2458,93,0.535515,0.403243
10601,686,2480,93,0.533351,0.365879
10701,727,2547,107,0.538959,0.391823
10801,723,2475,112,0.539215,0.389852
10901,734,2414,114,0.569657,0.418129
11001,706,2424,114,0.559615,0.395088
11101,715,2385,129,0.573962,0.410383
11201,716,2444,117,0.528128,0.37814
11301,711,2456,115,0.54362,0.386514
11401,725,2499,111,0.55368,0.401418
11501,735,2414,105,0.551078,0.405043
11601,694,2367,106,0.559619,0.388375
11701,661,2390,111,0.571077,0.377482
11801,703,2425,112,0.557245,0.391744
11901,728,2532,109,0.528444,0.384707
12001,695,2363,125,0.581658,0.404252
12101,694,2454,108,0.555443,0.385477
12201,696,2434,109,0.54352,0.37829
12301,714,2437,116,0.585847,0.418295
12401,732,2533,108,0.545511,0.399314
12501,686,2519,113,0.570506,0.391367
12601,715,2487,106,0.544441,0.389276
12701,704,2482,115,0.560869,0.394852
12801,722,2558,114,0.54879,0.396226
12901,691,2447,109,0.56813,0.392578
13001,673,2454,105,0.535277,0.360242
13101,705,2468,116,0.552162,0.389274
13201,722,2475,104,0.547471,0.395274
13301,715,2501,112,0.568674,0.406602
13401,733,2509,113,0.552444,0.404941
13501,720,2487,113,0.538633,0.387816
13601,725,2560,115,0.520175,0.377127
13701,698,2538,112,0.540526,0.377287
13801,699,2590,116,0.569283,0.397929
