cycle,Population_size,Deleterious_muts,Beneficial_muts,Mean_fitness,Intrinsic_fitness
1,1000,0,0,1.0,1.0
101,768,2215,36,0.530149,0.407155
201,749,2457,40,0.53481,0.400573
301,742,2493,48,0.566189,0.420112
401,737,2667,51,0.531882,0.391997
501,712,2717,59,0.541784,0.38575
601,764,2834,59,0.5352,0.408893
701,735,2855,56,0.567434,0.417064
801,749,2763,69,0.575199,0.430824
901,697,2789,51,0.543554,0.378857
1001,733,2832,62,0.558862,0.409646
1101,714,2911,67,0.569467,0.4066
1201,689,2845,53,0.539357,0.371617
1301,706,2836,49,0.547393,0.386459
1401,723,2854,65,0.526588,0.380723
1501,713,2834,62,0.544346,0.388119
1601,710,2957,57,0.559149,0.396996
1701,719,3109,58,0.52385,0.376648
1801,727,2956,74,0.56219,0.408712
1901,740,3112,62,0.523056,0.387061
2001,705,2992,75,0.523553,0.369105
2101,687,3067,61,0.52711,0.362124
2201,734,3070,71,0.554073,0.40669
2301,767,3086,75,0.54899,0.421076
2401,718,3082,72,0.524817,0.376818
2501,705,3072,72,0.532361,0.375315
2601,748,3049,77,0.564118,0.421961
2701,729,3167,66,0.538154,0.392314
2801,736,3116,70,0.54471,0.400907
2901,736,3121,70,0.522573,0.384614
3001,714,3127,80,0.533826,0.381152
3101,707,3104,74,0.535438,0.378555
3201,730,3088,79,0.561225,0.409694
3301,733,3054,84,0.54579,0.400064
3401,722,3083,84,0.55986,0.404219
3501,694,3131,70,0.561266,0.389518
3601,718,3128,67,0.553281,0.397256
3701,696,3122,85,0.541662,0.376997
3801,688,3116,86,0.551752,0.379605
3901,718,3114,68,0.543099,0.389945
4001,687,3077,74,0.559077,0.384086
4101,748,3260,67,0.548318,0.410142
4201,702,3193,83,0.519494,0.364685
4301,684,3138,76,0.541268,0.370227
4401,720,3184,82,0.555438,0.399915
4501,726,3285,86,0.546689,0.396896
4601,717,3249,99,0.541834,0.388495
4701,728,3274,78,0.535139,0.389581
4801,723,3111,80,0.541696,0.391646
4901,702,3178,81,0.517152,0.363041
5001,728,3164,87,0.542001,0.394577
5101,692,3161,96,0.548261,0.379397
5201,713,3275,81,0.565168,0.402965
5301,721,3273,85,0.543484,0.391852
5401,725,3292,84,0.549509,0.398394
5501,731,3237,77,0.539113,0.394092
5601,740,3227,80,0.539997,0.399598
5701,690,3179,85,0.539994,0.372596
5801,711,3300,89,0.549949,0.391014
5901,710,3305,98,0.52875,0.375413
6001,747,3393,104,0.528644,0.394897
6101,776,3325,111,0.562177,0.436249
6201,694,3284,105,0.550833,0.382278
6301,694,3327,112,0.550425,0.381995
6401,724,3368,101,0.581092,0.42071
6501,720,3412,112,0.569861,0.4103
6601,721,3386,109,0.532208,0.383722
6701,725,3437,109,0.536667,0.389084
6801,737,3507,107,0.556832,0.410385
6901,710,3428,104,0.543273,0.385724
7001,724,3391,109,0.56673,0.410313
7101,719,3442,102,0.553316,0.397834
7201,714,3417,100,0.551488,0.393763
7301,722,3496,111,0.540282,0.390083
7401,741,3460,107,0.552004,0.409035
7501,742,3483,101,0.541178,0.401554
7601,721,3467,109,0.526177,0.379374
7701,696,3474,109,0.549176,0.382226
7801,711,3447,104,0.542806,0.385935
7901,695,3407,116,0.540188,0.37543
8001,718,3401,112,0.541572,0.388849
8101,714,3400,107,0.510843,0.364742
8201,736,3408,110,0.557034,0.409977
8301,748,3472,116,0.539343,0.403429
8401,749,3480,115,0.546739,0.409508
